id,dan_toc,ten_khac,le_hoi,thoi_gian,dia_ban,y_nghia,noi_cu_tru,nhom_ngon_ngu,tin_nguong,bai_nguon,nguon,ghi_chu
dantoc-011,Bố Y,,Nguyên đán,Đầu năm,,,Quản Bạ (Hà Giang) và Mường Khương (Lào Cai),"Nhóm Bố Y nói ngôn ngữ Tày - Thái, thuộc ngữ hệ Thái - Ka Đai; nhóm Tu Dí nói ngôn ngữ Hán, thuộc ngữ hệ Hán - Tạng","Trên bàn thờ đặt ba bát hương thờ trời, táo quân và tổ tiên; dưới gầm bàn thờ đặt một bát hương thờ thổ địa",dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9,"Nhật Nguyệt, rút từ bài dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9",
dantoc-012,Bố Y,,Rằm tháng 7,Tháng 7,,,Quản Bạ (Hà Giang) và Mường Khương (Lào Cai),"Nhóm Bố Y nói ngôn ngữ Tày - Thái, thuộc ngữ hệ Thái - Ka Đai; nhóm Tu Dí nói ngôn ngữ Hán, thuộc ngữ hệ Hán - Tạng","Trên bàn thờ đặt ba bát hương thờ trời, táo quân và tổ tiên; dưới gầm bàn thờ đặt một bát hương thờ thổ địa",dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9,"Nhật Nguyệt, rút từ bài dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9",
dantoc-013,Bố Y,,Rằm tháng giêng,Tháng 1,,,Quản Bạ (Hà Giang) và Mường Khương (Lào Cai),"Nhóm Bố Y nói ngôn ngữ Tày - Thái, thuộc ngữ hệ Thái - Ka Đai; nhóm Tu Dí nói ngôn ngữ Hán, thuộc ngữ hệ Hán - Tạng","Trên bàn thờ đặt ba bát hương thờ trời, táo quân và tổ tiên; dưới gầm bàn thờ đặt một bát hương thờ thổ địa",dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9,"Nhật Nguyệt, rút từ bài dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9",
dantoc-014,Bố Y,,Đoan ngọ,Tháng 5,,,Quản Bạ (Hà Giang) và Mường Khương (Lào Cai),"Nhóm Bố Y nói ngôn ngữ Tày - Thái, thuộc ngữ hệ Thái - Ka Đai; nhóm Tu Dí nói ngôn ngữ Hán, thuộc ngữ hệ Hán - Tạng","Trên bàn thờ đặt ba bát hương thờ trời, táo quân và tổ tiên; dưới gầm bàn thờ đặt một bát hương thờ thổ địa",dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9,"Nhật Nguyệt, rút từ bài dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9",
dantoc-015,Chu Ru,,cúng sau mùa thu hoạch,,,,"Lâm Đồng, Ninh Thuận, Bình Thuận","nhóm ngôn ngữ Malayô-Polynêxia, ngữ hệ Nam Đảo","Hệ thống nghi lễ nông nghiệp gắn với chu kỳ canh tác ruộng nước, thờ cúng thần đập nước, thần mương nước, thần lúa và thần linh ngự trị tại cây đại thụ Yang Wer",dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0,"Nhật Nguyệt, rút từ bài dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0",
dantoc-016,Chu Ru,,cúng thần đập nước,,,,"Lâm Đồng, Ninh Thuận, Bình Thuận","nhóm ngôn ngữ Malayô-Polynêxia, ngữ hệ Nam Đảo","Hệ thống nghi lễ nông nghiệp gắn với chu kỳ canh tác ruộng nước, thờ cúng thần đập nước, thần mương nước, thần lúa và thần linh ngự trị tại cây đại thụ Yang Wer",dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0,"Nhật Nguyệt, rút từ bài dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0",
dantoc-017,Chu Ru,,lễ cúng Yang Wer,,,,"Lâm Đồng, Ninh Thuận, Bình Thuận","nhóm ngôn ngữ Malayô-Polynêxia, ngữ hệ Nam Đảo","Hệ thống nghi lễ nông nghiệp gắn với chu kỳ canh tác ruộng nước, thờ cúng thần đập nước, thần mương nước, thần lúa và thần linh ngự trị tại cây đại thụ Yang Wer",dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0,"Nhật Nguyệt, rút từ bài dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0",
dantoc-018,Chu Ru,,lễ cúng thần bơnung,tháng hai âm lịch,,,"Lâm Đồng, Ninh Thuận, Bình Thuận","nhóm ngôn ngữ Malayô-Polynêxia, ngữ hệ Nam Đảo","Hệ thống nghi lễ nông nghiệp gắn với chu kỳ canh tác ruộng nước, thờ cúng thần đập nước, thần mương nước, thần lúa và thần linh ngự trị tại cây đại thụ Yang Wer",dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0,"Nhật Nguyệt, rút từ bài dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0",
dantoc-019,Chu Ru,,ăn mừng lúa mới,,,,"Lâm Đồng, Ninh Thuận, Bình Thuận","nhóm ngôn ngữ Malayô-Polynêxia, ngữ hệ Nam Đảo","Hệ thống nghi lễ nông nghiệp gắn với chu kỳ canh tác ruộng nước, thờ cúng thần đập nước, thần mương nước, thần lúa và thần linh ngự trị tại cây đại thụ Yang Wer",dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0,"Nhật Nguyệt, rút từ bài dan-toc-chu-ru-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-aa9af0",
dantoc-020,Chăm,Chàm,Bon Katê,giữa tháng mười âm lịch,tại các đền tháp,,"Ninh Thuận, Bình Thuận, và tại một số địa phương thuộc các tỉnh An Giang (trong đó có khu vực Châu Đốc), Tây Ninh, Đồng Nai và Thành phố Hồ Chí Minh; Bình Định, Phú Yên và Khánh Hoà",nhóm ngôn ngữ Malayô-Polynéxia trong ngữ hệ Nam Đảo,thờ cúng tổ tiên gắn với nguyên tắc huyết hệ mẹ; đền tháp gắn bó với đời sống tinh thần,dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709,"Nhật Nguyệt, rút từ bài dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709",
dantoc-021,Chăm,Chàm,lễ Ramưwan,,,,"Ninh Thuận, Bình Thuận, và tại một số địa phương thuộc các tỉnh An Giang (trong đó có khu vực Châu Đốc), Tây Ninh, Đồng Nai và Thành phố Hồ Chí Minh; Bình Định, Phú Yên và Khánh Hoà",nhóm ngôn ngữ Malayô-Polynéxia trong ngữ hệ Nam Đảo,thờ cúng tổ tiên gắn với nguyên tắc huyết hệ mẹ; đền tháp gắn bó với đời sống tinh thần,dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709,"Nhật Nguyệt, rút từ bài dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709",
dantoc-022,Chăm,Chàm,lễ hạ điền,,,,"Ninh Thuận, Bình Thuận, và tại một số địa phương thuộc các tỉnh An Giang (trong đó có khu vực Châu Đốc), Tây Ninh, Đồng Nai và Thành phố Hồ Chí Minh; Bình Định, Phú Yên và Khánh Hoà",nhóm ngôn ngữ Malayô-Polynéxia trong ngữ hệ Nam Đảo,thờ cúng tổ tiên gắn với nguyên tắc huyết hệ mẹ; đền tháp gắn bó với đời sống tinh thần,dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709,"Nhật Nguyệt, rút từ bài dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709",
dantoc-023,Chăm,Chàm,lễ khai mương đắp đập,,,,"Ninh Thuận, Bình Thuận, và tại một số địa phương thuộc các tỉnh An Giang (trong đó có khu vực Châu Đốc), Tây Ninh, Đồng Nai và Thành phố Hồ Chí Minh; Bình Định, Phú Yên và Khánh Hoà",nhóm ngôn ngữ Malayô-Polynéxia trong ngữ hệ Nam Đảo,thờ cúng tổ tiên gắn với nguyên tắc huyết hệ mẹ; đền tháp gắn bó với đời sống tinh thần,dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709,"Nhật Nguyệt, rút từ bài dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709",
dantoc-024,Chăm,Chàm,lễ mừng lúa con,,,,"Ninh Thuận, Bình Thuận, và tại một số địa phương thuộc các tỉnh An Giang (trong đó có khu vực Châu Đốc), Tây Ninh, Đồng Nai và Thành phố Hồ Chí Minh; Bình Định, Phú Yên và Khánh Hoà",nhóm ngôn ngữ Malayô-Polynéxia trong ngữ hệ Nam Đảo,thờ cúng tổ tiên gắn với nguyên tắc huyết hệ mẹ; đền tháp gắn bó với đời sống tinh thần,dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709,"Nhật Nguyệt, rút từ bài dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709",
dantoc-025,Chăm,Chàm,lễ mừng lúa ra đòng,,,,"Ninh Thuận, Bình Thuận, và tại một số địa phương thuộc các tỉnh An Giang (trong đó có khu vực Châu Đốc), Tây Ninh, Đồng Nai và Thành phố Hồ Chí Minh; Bình Định, Phú Yên và Khánh Hoà",nhóm ngôn ngữ Malayô-Polynéxia trong ngữ hệ Nam Đảo,thờ cúng tổ tiên gắn với nguyên tắc huyết hệ mẹ; đền tháp gắn bó với đời sống tinh thần,dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709,"Nhật Nguyệt, rút từ bài dan-toc-cham-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-184709",
dantoc-026,Chơ Ro,,Cúng thần lúa,"Dịp lễ trọng hàng năm, theo nông lịch và tuần trăng",,"Lễ gắn với chu kỳ canh tác rẫy, ăn mừng và tiếp khách",vùng núi thấp thuộc tây nam và đông nam tỉnh Đồng Nai,"Môn-Khơ Me, ngữ hệ Nam Á","Thờ cúng thần lúa và thần rừng, thực hành tang ma với thổ táng và tục tảo mộ",dan-toc-cho-ro-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-3fd954,"Nhật Nguyệt, rút từ bài dan-toc-cho-ro-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-3fd954",
dantoc-027,Chơ Ro,,Cúng thần rừng,ba năm một lần,,"Dịp hội làng, cộng đồng tụ họp, chia vui và tái khẳng định quan hệ giữa các dòng họ trong làng",vùng núi thấp thuộc tây nam và đông nam tỉnh Đồng Nai,"Môn-Khơ Me, ngữ hệ Nam Á","Thờ cúng thần lúa và thần rừng, thực hành tang ma với thổ táng và tục tảo mộ",dan-toc-cho-ro-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-3fd954,"Nhật Nguyệt, rút từ bài dan-toc-cho-ro-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-3fd954",
dantoc-028,Chơ Ro,,Lễ khánh thành nhà mới,Khi gia chủ dựng nhà,,Dịp chia vui giữa gia chủ với dòng họ và buôn làng,vùng núi thấp thuộc tây nam và đông nam tỉnh Đồng Nai,"Môn-Khơ Me, ngữ hệ Nam Á","Thờ cúng thần lúa và thần rừng, thực hành tang ma với thổ táng và tục tảo mộ",dan-toc-cho-ro-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-3fd954,"Nhật Nguyệt, rút từ bài dan-toc-cho-ro-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-3fd954",
dantoc-029,Chứt,,lễ cúng hồn lúa,,,,"vùng núi thuộc tỉnh Quảng Bình, cụ thể ở các huyện Bố Trạch, Quảng Trạch và Minh Hoá","nhóm ngôn ngữ Việt - Mường, ngữ hệ Nam Á","Thờ tổ tiên, tin vào các loại ma rừng, ma suối, thổ công, ma bếp, trong đó quan trọng nhất là ma làng",dan-toc-chut-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-49d5aa,"Nhật Nguyệt, rút từ bài dan-toc-chut-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-49d5aa",
dantoc-030,Chứt,,lễ sau gieo hạt,,,,"vùng núi thuộc tỉnh Quảng Bình, cụ thể ở các huyện Bố Trạch, Quảng Trạch và Minh Hoá","nhóm ngôn ngữ Việt - Mường, ngữ hệ Nam Á","Thờ tổ tiên, tin vào các loại ma rừng, ma suối, thổ công, ma bếp, trong đó quan trọng nhất là ma làng",dan-toc-chut-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-49d5aa,"Nhật Nguyệt, rút từ bài dan-toc-chut-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-49d5aa",
dantoc-031,Chứt,,lễ xuống giống,,,,"vùng núi thuộc tỉnh Quảng Bình, cụ thể ở các huyện Bố Trạch, Quảng Trạch và Minh Hoá","nhóm ngôn ngữ Việt - Mường, ngữ hệ Nam Á","Thờ tổ tiên, tin vào các loại ma rừng, ma suối, thổ công, ma bếp, trong đó quan trọng nhất là ma làng",dan-toc-chut-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-49d5aa,"Nhật Nguyệt, rút từ bài dan-toc-chut-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-49d5aa",
dantoc-032,Chứt,,lễ ăn mừng được mùa,,,,"vùng núi thuộc tỉnh Quảng Bình, cụ thể ở các huyện Bố Trạch, Quảng Trạch và Minh Hoá","nhóm ngôn ngữ Việt - Mường, ngữ hệ Nam Á","Thờ tổ tiên, tin vào các loại ma rừng, ma suối, thổ công, ma bếp, trong đó quan trọng nhất là ma làng",dan-toc-chut-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-49d5aa,"Nhật Nguyệt, rút từ bài dan-toc-chut-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-49d5aa",
dantoc-033,Co,,lễ có đâm trâu tế thần,,,đây cũng là ngày hội lớn trong làng,"vùng tây bắc tỉnh Quảng Ngãi và tây nam tỉnh Quảng Nam, tập trung ở các huyện Trà Bồng và Trà Mi","nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Hệ thống thờ cúng khá phong phú, thờ ma (ka muych) và thần (kơi, ma) như ma người chết, ma quế, ma cây đa, ma nước, thần bếp lửa; núi cao gọi là núi Ông núi Bà có thần linh trú ngụ",dan-toc-co-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84d42a,"Nhật Nguyệt, rút từ bài dan-toc-co-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84d42a",
dantoc-034,Co,,tết gắn với sự kết thúc một mùa lúa rẫy,,,dịp sinh hoạt nhộn nhịp,"vùng tây bắc tỉnh Quảng Ngãi và tây nam tỉnh Quảng Nam, tập trung ở các huyện Trà Bồng và Trà Mi","nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Hệ thống thờ cúng khá phong phú, thờ ma (ka muych) và thần (kơi, ma) như ma người chết, ma quế, ma cây đa, ma nước, thần bếp lửa; núi cao gọi là núi Ông núi Bà có thần linh trú ngụ",dan-toc-co-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84d42a,"Nhật Nguyệt, rút từ bài dan-toc-co-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-84d42a",
dantoc-035,Cơ Ho,,Tết,thường là tháng 12 dương lịch,"ngoài trời trước nhà chủ hiến tế, trước nhà chủ làng hay ở mảnh đất rộng, bằng, cao ráo của làng",,"Lâm Đồng, Ninh Thuận, Bình Thuận, Khánh Hoà","Nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Thờ thần thánh (Yang) và ma quỷ (Chà), bàn thờ (nao) đặt ở chỗ trang trọng nhất trong nhà",dan-toc-co-ho-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-775668,"Nhật Nguyệt, rút từ bài dan-toc-co-ho-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-775668",
dantoc-036,Cơ Ho,,lễ nghi nông nghiệp,,,,"Lâm Đồng, Ninh Thuận, Bình Thuận, Khánh Hoà","Nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Thờ thần thánh (Yang) và ma quỷ (Chà), bàn thờ (nao) đặt ở chỗ trang trọng nhất trong nhà",dan-toc-co-ho-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-775668,"Nhật Nguyệt, rút từ bài dan-toc-co-ho-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-775668",
dantoc-037,Cơ Ho,,lễ đâm trâu,trong dịp Tết,"ngoài trời trước nhà chủ hiến tế, trước nhà chủ làng hay ở mảnh đất rộng, bằng, cao ráo của làng",,"Lâm Đồng, Ninh Thuận, Bình Thuận, Khánh Hoà","Nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Thờ thần thánh (Yang) và ma quỷ (Chà), bàn thờ (nao) đặt ở chỗ trang trọng nhất trong nhà",dan-toc-co-ho-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-775668,"Nhật Nguyệt, rút từ bài dan-toc-co-ho-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-775668",
dantoc-038,Cơ Tu,,lễ dồn mồ,,,,miền núi tây bắc tỉnh Quảng Nam và tây nam tỉnh Thừa Thiên Huế,ngôn ngữ Môn - Khơ Me (ngữ hệ Nam Á),"có rất nhiều lễ cúng gắn với sản xuất và sức khỏe, phân theo bậc hiến sinh; làng có thể có vật thiêng cất giữ ở nhà chung như một thứ bùa",dan-toc-co-tu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-802e22,"Nhật Nguyệt, rút từ bài dan-toc-co-tu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-802e22",
dantoc-039,Cơ Tu,,lễ đâm trâu,,,,miền núi tây bắc tỉnh Quảng Nam và tây nam tỉnh Thừa Thiên Huế,ngôn ngữ Môn - Khơ Me (ngữ hệ Nam Á),"có rất nhiều lễ cúng gắn với sản xuất và sức khỏe, phân theo bậc hiến sinh; làng có thể có vật thiêng cất giữ ở nhà chung như một thứ bùa",dan-toc-co-tu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-802e22,"Nhật Nguyệt, rút từ bài dan-toc-co-tu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-802e22",
dantoc-040,Cơ Tu,,ăn tết theo làng,"khoảng tháng Giêng, tháng Hai dương lịch, sau mùa tuốt lúa",,,miền núi tây bắc tỉnh Quảng Nam và tây nam tỉnh Thừa Thiên Huế,ngôn ngữ Môn - Khơ Me (ngữ hệ Nam Á),"có rất nhiều lễ cúng gắn với sản xuất và sức khỏe, phân theo bậc hiến sinh; làng có thể có vật thiêng cất giữ ở nhà chung như một thứ bùa",dan-toc-co-tu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-802e22,"Nhật Nguyệt, rút từ bài dan-toc-co-tu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-802e22",
dantoc-041,Cống,,lễ Tết hoa mào gà,,,,Lai Châu,"Tạng - Miến, trong ngữ hệ Hán - Tạng","Thờ cúng tổ tiên 2, 3 đời theo phụ hệ, cùng với việc cúng ma bố mẹ vợ vào dịp tết.",dan-toc-cong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-2c0d71,"Nhật Nguyệt, rút từ bài dan-toc-cong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-2c0d71",
dantoc-042,Cống,,lễ cúng bản,tháng ba âm lịch,,lễ cúng bản trước vụ gieo hạt,Lai Châu,"Tạng - Miến, trong ngữ hệ Hán - Tạng","Thờ cúng tổ tiên 2, 3 đời theo phụ hệ, cùng với việc cúng ma bố mẹ vợ vào dịp tết.",dan-toc-cong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-2c0d71,"Nhật Nguyệt, rút từ bài dan-toc-cong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-2c0d71",
