id,ngay_duong,ngay_am,thang_am,nam_am,thang_nhuan,can_chi_ngay,can_chi_nam,tiet_khi,truc,ngay_hoang_dao,nhi_thap_bat_tu,nguon,ghi_chu
1900-01-25,1900-01-25,25,12,1899,khong,Mậu Tuất,Kỷ Hợi,Đại Hàn,Thu,co,Giác,tinh-toan,
1900-01-26,1900-01-26,26,12,1899,khong,Kỷ Hợi,Kỷ Hợi,Đại Hàn,Khai,co,Cang,tinh-toan,
1900-01-27,1900-01-27,27,12,1899,khong,Canh Tý,Kỷ Hợi,Đại Hàn,Bế,khong,Đê,tinh-toan,
1900-01-28,1900-01-28,28,12,1899,khong,Tân Sửu,Kỷ Hợi,Đại Hàn,Kiến,khong,Phòng,tinh-toan,
1900-01-29,1900-01-29,29,12,1899,khong,Nhâm Dần,Kỷ Hợi,Đại Hàn,Trừ,co,Tâm,tinh-toan,
1900-01-30,1900-01-30,30,12,1899,khong,Quý Mão,Kỷ Hợi,Đại Hàn,Mãn,co,Vĩ,tinh-toan,
1900-01-31,1900-01-31,1,1,1900,khong,Giáp Thìn,Canh Tý,Đại Hàn,Bình,khong,Cơ,tinh-toan,
1900-02-01,1900-02-01,2,1,1900,khong,Ất Tỵ,Canh Tý,Đại Hàn,Định,co,Đẩu,tinh-toan,
1900-02-02,1900-02-02,3,1,1900,khong,Bính Ngọ,Canh Tý,Đại Hàn,Chấp,khong,Ngưu,tinh-toan,
1900-02-03,1900-02-03,4,1,1900,khong,Đinh Mùi,Canh Tý,Đại Hàn,Phá,khong,Nữ,tinh-toan,
1900-02-04,1900-02-04,5,1,1900,khong,Mậu Thân,Canh Tý,Đại Hàn,Nguy,co,Hư,tinh-toan,
1900-02-05,1900-02-05,6,1,1900,khong,Kỷ Dậu,Canh Tý,Lập Xuân,Nguy,khong,Nguy,tinh-toan,
1900-02-06,1900-02-06,7,1,1900,khong,Canh Tuất,Canh Tý,Lập Xuân,Thành,co,Thất,tinh-toan,
1900-02-07,1900-02-07,8,1,1900,khong,Tân Hợi,Canh Tý,Lập Xuân,Thu,khong,Bích,tinh-toan,
1900-02-08,1900-02-08,9,1,1900,khong,Nhâm Tý,Canh Tý,Lập Xuân,Khai,co,Khuê,tinh-toan,
1900-02-09,1900-02-09,10,1,1900,khong,Quý Sửu,Canh Tý,Lập Xuân,Bế,co,Lâu,tinh-toan,
1900-02-10,1900-02-10,11,1,1900,khong,Giáp Dần,Canh Tý,Lập Xuân,Kiến,khong,Vị,tinh-toan,
1900-02-11,1900-02-11,12,1,1900,khong,Ất Mão,Canh Tý,Lập Xuân,Trừ,khong,Mão,tinh-toan,
1900-02-12,1900-02-12,13,1,1900,khong,Bính Thìn,Canh Tý,Lập Xuân,Mãn,co,Tất,tinh-toan,
1900-02-13,1900-02-13,14,1,1900,khong,Đinh Tỵ,Canh Tý,Lập Xuân,Bình,co,Chủy,tinh-toan,
1900-02-14,1900-02-14,15,1,1900,khong,Mậu Ngọ,Canh Tý,Lập Xuân,Định,khong,Sâm,tinh-toan,
1900-02-15,1900-02-15,16,1,1900,khong,Kỷ Mùi,Canh Tý,Lập Xuân,Chấp,co,Tỉnh,tinh-toan,
1900-02-16,1900-02-16,17,1,1900,khong,Canh Thân,Canh Tý,Lập Xuân,Phá,khong,Quỷ,tinh-toan,
1900-02-17,1900-02-17,18,1,1900,khong,Tân Dậu,Canh Tý,Lập Xuân,Nguy,khong,Liễu,tinh-toan,
1900-02-18,1900-02-18,19,1,1900,khong,Nhâm Tuất,Canh Tý,Lập Xuân,Thành,co,Tinh,tinh-toan,
1900-02-19,1900-02-19,20,1,1900,khong,Quý Hợi,Canh Tý,Vũ Thủy,Thu,khong,Trương,tinh-toan,
1900-02-20,1900-02-20,21,1,1900,khong,Giáp Tý,Canh Tý,Vũ Thủy,Khai,co,Dực,tinh-toan,
1900-02-21,1900-02-21,22,1,1900,khong,Ất Sửu,Canh Tý,Vũ Thủy,Bế,co,Chẩn,tinh-toan,
1900-02-22,1900-02-22,23,1,1900,khong,Bính Dần,Canh Tý,Vũ Thủy,Kiến,khong,Giác,tinh-toan,
1900-02-23,1900-02-23,24,1,1900,khong,Đinh Mão,Canh Tý,Vũ Thủy,Trừ,khong,Cang,tinh-toan,
1900-02-24,1900-02-24,25,1,1900,khong,Mậu Thìn,Canh Tý,Vũ Thủy,Mãn,co,Đê,tinh-toan,
1900-02-25,1900-02-25,26,1,1900,khong,Kỷ Tỵ,Canh Tý,Vũ Thủy,Bình,co,Phòng,tinh-toan,
1900-02-26,1900-02-26,27,1,1900,khong,Canh Ngọ,Canh Tý,Vũ Thủy,Định,khong,Tâm,tinh-toan,
1900-02-27,1900-02-27,28,1,1900,khong,Tân Mùi,Canh Tý,Vũ Thủy,Chấp,co,Vĩ,tinh-toan,
1900-02-28,1900-02-28,29,1,1900,khong,Nhâm Thân,Canh Tý,Vũ Thủy,Phá,khong,Cơ,tinh-toan,
1900-03-01,1900-03-01,1,2,1900,khong,Quý Dậu,Canh Tý,Vũ Thủy,Nguy,khong,Đẩu,tinh-toan,
1900-03-02,1900-03-02,2,2,1900,khong,Giáp Tuất,Canh Tý,Vũ Thủy,Thành,co,Ngưu,tinh-toan,
1900-03-03,1900-03-03,3,2,1900,khong,Ất Hợi,Canh Tý,Vũ Thủy,Thu,khong,Nữ,tinh-toan,
1900-03-04,1900-03-04,4,2,1900,khong,Bính Tý,Canh Tý,Vũ Thủy,Khai,co,Hư,tinh-toan,
1900-03-05,1900-03-05,5,2,1900,khong,Đinh Sửu,Canh Tý,Vũ Thủy,Bế,co,Nguy,tinh-toan,
1900-03-06,1900-03-06,6,2,1900,khong,Mậu Dần,Canh Tý,Kinh Trập,Bế,co,Thất,tinh-toan,
1900-03-07,1900-03-07,7,2,1900,khong,Kỷ Mão,Canh Tý,Kinh Trập,Kiến,co,Bích,tinh-toan,
1900-03-08,1900-03-08,8,2,1900,khong,Canh Thìn,Canh Tý,Kinh Trập,Trừ,khong,Khuê,tinh-toan,
1900-03-09,1900-03-09,9,2,1900,khong,Tân Tỵ,Canh Tý,Kinh Trập,Mãn,khong,Lâu,tinh-toan,
1900-03-10,1900-03-10,10,2,1900,khong,Nhâm Ngọ,Canh Tý,Kinh Trập,Bình,co,Vị,tinh-toan,
1900-03-11,1900-03-11,11,2,1900,khong,Quý Mùi,Canh Tý,Kinh Trập,Định,co,Mão,tinh-toan,
1900-03-12,1900-03-12,12,2,1900,khong,Giáp Thân,Canh Tý,Kinh Trập,Chấp,khong,Tất,tinh-toan,
1900-03-13,1900-03-13,13,2,1900,khong,Ất Dậu,Canh Tý,Kinh Trập,Phá,co,Chủy,tinh-toan,
1900-03-14,1900-03-14,14,2,1900,khong,Bính Tuất,Canh Tý,Kinh Trập,Nguy,khong,Sâm,tinh-toan,
1900-03-15,1900-03-15,15,2,1900,khong,Đinh Hợi,Canh Tý,Kinh Trập,Thành,khong,Tỉnh,tinh-toan,
1900-03-16,1900-03-16,16,2,1900,khong,Mậu Tý,Canh Tý,Kinh Trập,Thu,co,Quỷ,tinh-toan,
1900-03-17,1900-03-17,17,2,1900,khong,Kỷ Sửu,Canh Tý,Kinh Trập,Khai,khong,Liễu,tinh-toan,
1900-03-18,1900-03-18,18,2,1900,khong,Canh Dần,Canh Tý,Kinh Trập,Bế,co,Tinh,tinh-toan,
1900-03-19,1900-03-19,19,2,1900,khong,Tân Mão,Canh Tý,Kinh Trập,Kiến,co,Trương,tinh-toan,
1900-03-20,1900-03-20,20,2,1900,khong,Nhâm Thìn,Canh Tý,Kinh Trập,Trừ,khong,Dực,tinh-toan,
1900-03-21,1900-03-21,21,2,1900,khong,Quý Tỵ,Canh Tý,Xuân Phân,Mãn,khong,Chẩn,tinh-toan,
1900-03-22,1900-03-22,22,2,1900,khong,Giáp Ngọ,Canh Tý,Xuân Phân,Bình,co,Giác,tinh-toan,
1900-03-23,1900-03-23,23,2,1900,khong,Ất Mùi,Canh Tý,Xuân Phân,Định,co,Cang,tinh-toan,
1900-03-24,1900-03-24,24,2,1900,khong,Bính Thân,Canh Tý,Xuân Phân,Chấp,khong,Đê,tinh-toan,
1900-03-25,1900-03-25,25,2,1900,khong,Đinh Dậu,Canh Tý,Xuân Phân,Phá,co,Phòng,tinh-toan,
1900-03-26,1900-03-26,26,2,1900,khong,Mậu Tuất,Canh Tý,Xuân Phân,Nguy,khong,Tâm,tinh-toan,
1900-03-27,1900-03-27,27,2,1900,khong,Kỷ Hợi,Canh Tý,Xuân Phân,Thành,khong,Vĩ,tinh-toan,
1900-03-28,1900-03-28,28,2,1900,khong,Canh Tý,Canh Tý,Xuân Phân,Thu,co,Cơ,tinh-toan,
1900-03-29,1900-03-29,29,2,1900,khong,Tân Sửu,Canh Tý,Xuân Phân,Khai,khong,Đẩu,tinh-toan,
1900-03-30,1900-03-30,30,2,1900,khong,Nhâm Dần,Canh Tý,Xuân Phân,Bế,co,Ngưu,tinh-toan,
1900-03-31,1900-03-31,1,3,1900,khong,Quý Mão,Canh Tý,Xuân Phân,Kiến,co,Nữ,tinh-toan,
1900-04-01,1900-04-01,2,3,1900,khong,Giáp Thìn,Canh Tý,Xuân Phân,Trừ,khong,Hư,tinh-toan,
1900-04-02,1900-04-02,3,3,1900,khong,Ất Tỵ,Canh Tý,Xuân Phân,Mãn,khong,Nguy,tinh-toan,
1900-04-03,1900-04-03,4,3,1900,khong,Bính Ngọ,Canh Tý,Xuân Phân,Bình,co,Thất,tinh-toan,
1900-04-04,1900-04-04,5,3,1900,khong,Đinh Mùi,Canh Tý,Xuân Phân,Định,co,Bích,tinh-toan,
1900-04-05,1900-04-05,6,3,1900,khong,Mậu Thân,Canh Tý,Xuân Phân,Chấp,khong,Khuê,tinh-toan,
1900-04-06,1900-04-06,7,3,1900,khong,Kỷ Dậu,Canh Tý,Thanh Minh,Chấp,co,Lâu,tinh-toan,
1900-04-07,1900-04-07,8,3,1900,khong,Canh Tuất,Canh Tý,Thanh Minh,Phá,khong,Vị,tinh-toan,
1900-04-08,1900-04-08,9,3,1900,khong,Tân Hợi,Canh Tý,Thanh Minh,Nguy,co,Mão,tinh-toan,
1900-04-09,1900-04-09,10,3,1900,khong,Nhâm Tý,Canh Tý,Thanh Minh,Thành,khong,Tất,tinh-toan,
1900-04-10,1900-04-10,11,3,1900,khong,Quý Sửu,Canh Tý,Thanh Minh,Thu,khong,Chủy,tinh-toan,
1900-04-11,1900-04-11,12,3,1900,khong,Giáp Dần,Canh Tý,Thanh Minh,Khai,co,Sâm,tinh-toan,
1900-04-12,1900-04-12,13,3,1900,khong,Ất Mão,Canh Tý,Thanh Minh,Bế,khong,Tỉnh,tinh-toan,
1900-04-13,1900-04-13,14,3,1900,khong,Bính Thìn,Canh Tý,Thanh Minh,Kiến,co,Quỷ,tinh-toan,
1900-04-14,1900-04-14,15,3,1900,khong,Đinh Tỵ,Canh Tý,Thanh Minh,Trừ,co,Liễu,tinh-toan,
1900-04-15,1900-04-15,16,3,1900,khong,Mậu Ngọ,Canh Tý,Thanh Minh,Mãn,khong,Tinh,tinh-toan,
1900-04-16,1900-04-16,17,3,1900,khong,Kỷ Mùi,Canh Tý,Thanh Minh,Bình,khong,Trương,tinh-toan,
1900-04-17,1900-04-17,18,3,1900,khong,Canh Thân,Canh Tý,Thanh Minh,Định,co,Dực,tinh-toan,
1900-04-18,1900-04-18,19,3,1900,khong,Tân Dậu,Canh Tý,Thanh Minh,Chấp,co,Chẩn,tinh-toan,
1900-04-19,1900-04-19,20,3,1900,khong,Nhâm Tuất,Canh Tý,Thanh Minh,Phá,khong,Giác,tinh-toan,
1900-04-20,1900-04-20,21,3,1900,khong,Quý Hợi,Canh Tý,Thanh Minh,Nguy,co,Cang,tinh-toan,
1900-04-21,1900-04-21,22,3,1900,khong,Giáp Tý,Canh Tý,Cốc Vũ,Thành,khong,Đê,tinh-toan,
1900-04-22,1900-04-22,23,3,1900,khong,Ất Sửu,Canh Tý,Cốc Vũ,Thu,khong,Phòng,tinh-toan,
1900-04-23,1900-04-23,24,3,1900,khong,Bính Dần,Canh Tý,Cốc Vũ,Khai,co,Tâm,tinh-toan,
1900-04-24,1900-04-24,25,3,1900,khong,Đinh Mão,Canh Tý,Cốc Vũ,Bế,khong,Vĩ,tinh-toan,
1900-04-25,1900-04-25,26,3,1900,khong,Mậu Thìn,Canh Tý,Cốc Vũ,Kiến,co,Cơ,tinh-toan,
1900-04-26,1900-04-26,27,3,1900,khong,Kỷ Tỵ,Canh Tý,Cốc Vũ,Trừ,co,Đẩu,tinh-toan,
1900-04-27,1900-04-27,28,3,1900,khong,Canh Ngọ,Canh Tý,Cốc Vũ,Mãn,khong,Ngưu,tinh-toan,
1900-04-28,1900-04-28,29,3,1900,khong,Tân Mùi,Canh Tý,Cốc Vũ,Bình,khong,Nữ,tinh-toan,
1900-04-29,1900-04-29,1,4,1900,khong,Nhâm Thân,Canh Tý,Cốc Vũ,Định,co,Hư,tinh-toan,
1900-04-30,1900-04-30,2,4,1900,khong,Quý Dậu,Canh Tý,Cốc Vũ,Chấp,co,Nguy,tinh-toan,
1900-05-01,1900-05-01,3,4,1900,khong,Giáp Tuất,Canh Tý,Cốc Vũ,Phá,khong,Thất,tinh-toan,
1900-05-02,1900-05-02,4,4,1900,khong,Ất Hợi,Canh Tý,Cốc Vũ,Nguy,co,Bích,tinh-toan,
1900-05-03,1900-05-03,5,4,1900,khong,Bính Tý,Canh Tý,Cốc Vũ,Thành,khong,Khuê,tinh-toan,
1900-05-04,1900-05-04,6,4,1900,khong,Đinh Sửu,Canh Tý,Cốc Vũ,Thu,khong,Lâu,tinh-toan,
1900-05-05,1900-05-05,7,4,1900,khong,Mậu Dần,Canh Tý,Cốc Vũ,Khai,co,Vị,tinh-toan,
1900-05-06,1900-05-06,8,4,1900,khong,Kỷ Mão,Canh Tý,Lập Hạ,Khai,khong,Mão,tinh-toan,
1900-05-07,1900-05-07,9,4,1900,khong,Canh Thìn,Canh Tý,Lập Hạ,Bế,co,Tất,tinh-toan,
1900-05-08,1900-05-08,10,4,1900,khong,Tân Tỵ,Canh Tý,Lập Hạ,Kiến,khong,Chủy,tinh-toan,
1900-05-09,1900-05-09,11,4,1900,khong,Nhâm Ngọ,Canh Tý,Lập Hạ,Trừ,co,Sâm,tinh-toan,
1900-05-10,1900-05-10,12,4,1900,khong,Quý Mùi,Canh Tý,Lập Hạ,Mãn,co,Tỉnh,tinh-toan,
1900-05-11,1900-05-11,13,4,1900,khong,Giáp Thân,Canh Tý,Lập Hạ,Bình,khong,Quỷ,tinh-toan,
1900-05-12,1900-05-12,14,4,1900,khong,Ất Dậu,Canh Tý,Lập Hạ,Định,khong,Liễu,tinh-toan,
1900-05-13,1900-05-13,15,4,1900,khong,Bính Tuất,Canh Tý,Lập Hạ,Chấp,co,Tinh,tinh-toan,
1900-05-14,1900-05-14,16,4,1900,khong,Đinh Hợi,Canh Tý,Lập Hạ,Phá,co,Trương,tinh-toan,
1900-05-15,1900-05-15,17,4,1900,khong,Mậu Tý,Canh Tý,Lập Hạ,Nguy,khong,Dực,tinh-toan,
1900-05-16,1900-05-16,18,4,1900,khong,Kỷ Sửu,Canh Tý,Lập Hạ,Thành,co,Chẩn,tinh-toan,
1900-05-17,1900-05-17,19,4,1900,khong,Canh Dần,Canh Tý,Lập Hạ,Thu,khong,Giác,tinh-toan,
1900-05-18,1900-05-18,20,4,1900,khong,Tân Mão,Canh Tý,Lập Hạ,Khai,khong,Cang,tinh-toan,
1900-05-19,1900-05-19,21,4,1900,khong,Nhâm Thìn,Canh Tý,Lập Hạ,Bế,co,Đê,tinh-toan,
1900-05-20,1900-05-20,22,4,1900,khong,Quý Tỵ,Canh Tý,Lập Hạ,Kiến,khong,Phòng,tinh-toan,
1900-05-21,1900-05-21,23,4,1900,khong,Giáp Ngọ,Canh Tý,Lập Hạ,Trừ,co,Tâm,tinh-toan,
1900-05-22,1900-05-22,24,4,1900,khong,Ất Mùi,Canh Tý,Tiểu Mãn,Mãn,co,Vĩ,tinh-toan,
1900-05-23,1900-05-23,25,4,1900,khong,Bính Thân,Canh Tý,Tiểu Mãn,Bình,khong,Cơ,tinh-toan,
1900-05-24,1900-05-24,26,4,1900,khong,Đinh Dậu,Canh Tý,Tiểu Mãn,Định,khong,Đẩu,tinh-toan,
1900-05-25,1900-05-25,27,4,1900,khong,Mậu Tuất,Canh Tý,Tiểu Mãn,Chấp,co,Ngưu,tinh-toan,
1900-05-26,1900-05-26,28,4,1900,khong,Kỷ Hợi,Canh Tý,Tiểu Mãn,Phá,co,Nữ,tinh-toan,
1900-05-27,1900-05-27,29,4,1900,khong,Canh Tý,Canh Tý,Tiểu Mãn,Nguy,khong,Hư,tinh-toan,
1900-05-28,1900-05-28,1,5,1900,khong,Tân Sửu,Canh Tý,Tiểu Mãn,Thành,co,Nguy,tinh-toan,
1900-05-29,1900-05-29,2,5,1900,khong,Nhâm Dần,Canh Tý,Tiểu Mãn,Thu,khong,Thất,tinh-toan,
1900-05-30,1900-05-30,3,5,1900,khong,Quý Mão,Canh Tý,Tiểu Mãn,Khai,khong,Bích,tinh-toan,
1900-05-31,1900-05-31,4,5,1900,khong,Giáp Thìn,Canh Tý,Tiểu Mãn,Bế,co,Khuê,tinh-toan,
1900-06-01,1900-06-01,5,5,1900,khong,Ất Tỵ,Canh Tý,Tiểu Mãn,Kiến,khong,Lâu,tinh-toan,
1900-06-02,1900-06-02,6,5,1900,khong,Bính Ngọ,Canh Tý,Tiểu Mãn,Trừ,co,Vị,tinh-toan,
1900-06-03,1900-06-03,7,5,1900,khong,Đinh Mùi,Canh Tý,Tiểu Mãn,Mãn,co,Mão,tinh-toan,
1900-06-04,1900-06-04,8,5,1900,khong,Mậu Thân,Canh Tý,Tiểu Mãn,Bình,khong,Tất,tinh-toan,
1900-06-05,1900-06-05,9,5,1900,khong,Kỷ Dậu,Canh Tý,Tiểu Mãn,Định,khong,Chủy,tinh-toan,
1900-06-06,1900-06-06,10,5,1900,khong,Canh Tuất,Canh Tý,Mang Chủng,Định,khong,Sâm,tinh-toan,
1900-06-07,1900-06-07,11,5,1900,khong,Tân Hợi,Canh Tý,Mang Chủng,Chấp,khong,Tỉnh,tinh-toan,
1900-06-08,1900-06-08,12,5,1900,khong,Nhâm Tý,Canh Tý,Mang Chủng,Phá,co,Quỷ,tinh-toan,
1900-06-09,1900-06-09,13,5,1900,khong,Quý Sửu,Canh Tý,Mang Chủng,Nguy,co,Liễu,tinh-toan,
1900-06-10,1900-06-10,14,5,1900,khong,Giáp Dần,Canh Tý,Mang Chủng,Thành,khong,Tinh,tinh-toan,
1900-06-11,1900-06-11,15,5,1900,khong,Ất Mão,Canh Tý,Mang Chủng,Thu,co,Trương,tinh-toan,
1900-06-12,1900-06-12,16,5,1900,khong,Bính Thìn,Canh Tý,Mang Chủng,Khai,khong,Dực,tinh-toan,
1900-06-13,1900-06-13,17,5,1900,khong,Đinh Tỵ,Canh Tý,Mang Chủng,Bế,khong,Chẩn,tinh-toan,
1900-06-14,1900-06-14,18,5,1900,khong,Mậu Ngọ,Canh Tý,Mang Chủng,Kiến,co,Giác,tinh-toan,
1900-06-15,1900-06-15,19,5,1900,khong,Kỷ Mùi,Canh Tý,Mang Chủng,Trừ,khong,Cang,tinh-toan,
1900-06-16,1900-06-16,20,5,1900,khong,Canh Thân,Canh Tý,Mang Chủng,Mãn,co,Đê,tinh-toan,
1900-06-17,1900-06-17,21,5,1900,khong,Tân Dậu,Canh Tý,Mang Chủng,Bình,co,Phòng,tinh-toan,
1900-06-18,1900-06-18,22,5,1900,khong,Nhâm Tuất,Canh Tý,Mang Chủng,Định,khong,Tâm,tinh-toan,
1900-06-19,1900-06-19,23,5,1900,khong,Quý Hợi,Canh Tý,Mang Chủng,Chấp,khong,Vĩ,tinh-toan,
1900-06-20,1900-06-20,24,5,1900,khong,Giáp Tý,Canh Tý,Mang Chủng,Phá,co,Cơ,tinh-toan,
1900-06-21,1900-06-21,25,5,1900,khong,Ất Sửu,Canh Tý,Mang Chủng,Nguy,co,Đẩu,tinh-toan,
1900-06-22,1900-06-22,26,5,1900,khong,Bính Dần,Canh Tý,Hạ Chí,Thành,khong,Ngưu,tinh-toan,
1900-06-23,1900-06-23,27,5,1900,khong,Đinh Mão,Canh Tý,Hạ Chí,Thu,co,Nữ,tinh-toan,
1900-06-24,1900-06-24,28,5,1900,khong,Mậu Thìn,Canh Tý,Hạ Chí,Khai,khong,Hư,tinh-toan,
1900-06-25,1900-06-25,29,5,1900,khong,Kỷ Tỵ,Canh Tý,Hạ Chí,Bế,khong,Nguy,tinh-toan,
1900-06-26,1900-06-26,30,5,1900,khong,Canh Ngọ,Canh Tý,Hạ Chí,Kiến,co,Thất,tinh-toan,
1900-06-27,1900-06-27,1,6,1900,khong,Tân Mùi,Canh Tý,Hạ Chí,Trừ,khong,Bích,tinh-toan,
1900-06-28,1900-06-28,2,6,1900,khong,Nhâm Thân,Canh Tý,Hạ Chí,Mãn,co,Khuê,tinh-toan,
1900-06-29,1900-06-29,3,6,1900,khong,Quý Dậu,Canh Tý,Hạ Chí,Bình,co,Lâu,tinh-toan,
1900-06-30,1900-06-30,4,6,1900,khong,Giáp Tuất,Canh Tý,Hạ Chí,Định,khong,Vị,tinh-toan,
1900-07-01,1900-07-01,5,6,1900,khong,Ất Hợi,Canh Tý,Hạ Chí,Chấp,khong,Mão,tinh-toan,
1900-07-02,1900-07-02,6,6,1900,khong,Bính Tý,Canh Tý,Hạ Chí,Phá,co,Tất,tinh-toan,
1900-07-03,1900-07-03,7,6,1900,khong,Đinh Sửu,Canh Tý,Hạ Chí,Nguy,co,Chủy,tinh-toan,
1900-07-04,1900-07-04,8,6,1900,khong,Mậu Dần,Canh Tý,Hạ Chí,Thành,khong,Sâm,tinh-toan,
1900-07-05,1900-07-05,9,6,1900,khong,Kỷ Mão,Canh Tý,Hạ Chí,Thu,co,Tỉnh,tinh-toan,
1900-07-06,1900-07-06,10,6,1900,khong,Canh Thìn,Canh Tý,Hạ Chí,Khai,khong,Quỷ,tinh-toan,
1900-07-07,1900-07-07,11,6,1900,khong,Tân Tỵ,Canh Tý,Hạ Chí,Bế,khong,Liễu,tinh-toan,
1900-07-08,1900-07-08,12,6,1900,khong,Nhâm Ngọ,Canh Tý,Tiểu Thử,Bế,khong,Tinh,tinh-toan,
1900-07-09,1900-07-09,13,6,1900,khong,Quý Mùi,Canh Tý,Tiểu Thử,Kiến,khong,Trương,tinh-toan,
1900-07-10,1900-07-10,14,6,1900,khong,Giáp Thân,Canh Tý,Tiểu Thử,Trừ,co,Dực,tinh-toan,
1900-07-11,1900-07-11,15,6,1900,khong,Ất Dậu,Canh Tý,Tiểu Thử,Mãn,khong,Chẩn,tinh-toan,
1900-07-12,1900-07-12,16,6,1900,khong,Bính Tuất,Canh Tý,Tiểu Thử,Bình,co,Giác,tinh-toan,
1900-07-13,1900-07-13,17,6,1900,khong,Đinh Hợi,Canh Tý,Tiểu Thử,Định,co,Cang,tinh-toan,
1900-07-14,1900-07-14,18,6,1900,khong,Mậu Tý,Canh Tý,Tiểu Thử,Chấp,khong,Đê,tinh-toan,
1900-07-15,1900-07-15,19,6,1900,khong,Kỷ Sửu,Canh Tý,Tiểu Thử,Phá,khong,Phòng,tinh-toan,
1900-07-16,1900-07-16,20,6,1900,khong,Canh Dần,Canh Tý,Tiểu Thử,Nguy,co,Tâm,tinh-toan,
1900-07-17,1900-07-17,21,6,1900,khong,Tân Mão,Canh Tý,Tiểu Thử,Thành,co,Vĩ,tinh-toan,
1900-07-18,1900-07-18,22,6,1900,khong,Nhâm Thìn,Canh Tý,Tiểu Thử,Thu,khong,Cơ,tinh-toan,
1900-07-19,1900-07-19,23,6,1900,khong,Quý Tỵ,Canh Tý,Tiểu Thử,Khai,co,Đẩu,tinh-toan,
1900-07-20,1900-07-20,24,6,1900,khong,Giáp Ngọ,Canh Tý,Tiểu Thử,Bế,khong,Ngưu,tinh-toan,
1900-07-21,1900-07-21,25,6,1900,khong,Ất Mùi,Canh Tý,Tiểu Thử,Kiến,khong,Nữ,tinh-toan,
