id,nam,thu_tu,ten,ten_en,kinh_do_mat_troi,ngay_bat_dau,y_nghia,nguon,ghi_chu
2021-02,2021,2,Đại Hàn,Major Cold,300,2021-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2021-03,2021,3,Lập Xuân,Start of Spring,315,2021-02-03,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2021-04,2021,4,Vũ Thủy,Rain Water,330,2021-02-18,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2021-05,2021,5,Kinh Trập,Awakening of Insects,345,2021-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2021-06,2021,6,Xuân Phân,Vernal Equinox,0,2021-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2021-07,2021,7,Thanh Minh,Clear and Bright,15,2021-04-04,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2021-08,2021,8,Cốc Vũ,Grain Rain,30,2021-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2021-09,2021,9,Lập Hạ,Start of Summer,45,2021-05-05,Bắt đầu mùa hè,tinh-toan,
2021-10,2021,10,Tiểu Mãn,Grain Buds,60,2021-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2021-11,2021,11,Mang Chủng,Grain in Ear,75,2021-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2021-12,2021,12,Hạ Chí,Summer Solstice,90,2021-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2021-13,2021,13,Tiểu Thử,Minor Heat,105,2021-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2021-14,2021,14,Đại Thử,Major Heat,120,2021-07-22,Thời điểm nóng nhất trong năm,tinh-toan,
2021-15,2021,15,Lập Thu,Start of Autumn,135,2021-08-07,Bắt đầu mùa thu,tinh-toan,
2021-16,2021,16,Xử Thử,End of Heat,150,2021-08-23,Cái nóng lui dần,tinh-toan,
2021-17,2021,17,Bạch Lộ,White Dew,165,2021-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2021-18,2021,18,Thu Phân,Autumnal Equinox,180,2021-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2021-19,2021,19,Hàn Lộ,Cold Dew,195,2021-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2021-20,2021,20,Sương Giáng,Frost Descent,210,2021-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2021-21,2021,21,Lập Đông,Start of Winter,225,2021-11-07,Bắt đầu mùa đông,tinh-toan,
2021-22,2021,22,Tiểu Tuyết,Minor Snow,240,2021-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2021-23,2021,23,Đại Tuyết,Major Snow,255,2021-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2021-24,2021,24,Đông Chí,Winter Solstice,270,2021-12-21,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2022-01,2022,1,Tiểu Hàn,Minor Cold,285,2022-01-05,Bắt đầu rét đậm,tinh-toan,
2022-02,2022,2,Đại Hàn,Major Cold,300,2022-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2022-03,2022,3,Lập Xuân,Start of Spring,315,2022-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2022-04,2022,4,Vũ Thủy,Rain Water,330,2022-02-18,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2022-05,2022,5,Kinh Trập,Awakening of Insects,345,2022-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2022-06,2022,6,Xuân Phân,Vernal Equinox,0,2022-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2022-07,2022,7,Thanh Minh,Clear and Bright,15,2022-04-05,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2022-08,2022,8,Cốc Vũ,Grain Rain,30,2022-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2022-09,2022,9,Lập Hạ,Start of Summer,45,2022-05-05,Bắt đầu mùa hè,tinh-toan,
2022-10,2022,10,Tiểu Mãn,Grain Buds,60,2022-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2022-11,2022,11,Mang Chủng,Grain in Ear,75,2022-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2022-12,2022,12,Hạ Chí,Summer Solstice,90,2022-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2022-13,2022,13,Tiểu Thử,Minor Heat,105,2022-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2022-14,2022,14,Đại Thử,Major Heat,120,2022-07-23,Thời điểm nóng nhất trong năm,tinh-toan,
2022-15,2022,15,Lập Thu,Start of Autumn,135,2022-08-07,Bắt đầu mùa thu,tinh-toan,
2022-16,2022,16,Xử Thử,End of Heat,150,2022-08-23,Cái nóng lui dần,tinh-toan,
2022-17,2022,17,Bạch Lộ,White Dew,165,2022-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2022-18,2022,18,Thu Phân,Autumnal Equinox,180,2022-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2022-19,2022,19,Hàn Lộ,Cold Dew,195,2022-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2022-20,2022,20,Sương Giáng,Frost Descent,210,2022-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2022-21,2022,21,Lập Đông,Start of Winter,225,2022-11-07,Bắt đầu mùa đông,tinh-toan,
2022-22,2022,22,Tiểu Tuyết,Minor Snow,240,2022-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2022-23,2022,23,Đại Tuyết,Major Snow,255,2022-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2022-24,2022,24,Đông Chí,Winter Solstice,270,2022-12-22,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2023-01,2023,1,Tiểu Hàn,Minor Cold,285,2023-01-05,Bắt đầu rét đậm,tinh-toan,
2023-02,2023,2,Đại Hàn,Major Cold,300,2023-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2023-03,2023,3,Lập Xuân,Start of Spring,315,2023-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2023-04,2023,4,Vũ Thủy,Rain Water,330,2023-02-19,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2023-05,2023,5,Kinh Trập,Awakening of Insects,345,2023-03-06,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2023-06,2023,6,Xuân Phân,Vernal Equinox,0,2023-03-21,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2023-07,2023,7,Thanh Minh,Clear and Bright,15,2023-04-05,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2023-08,2023,8,Cốc Vũ,Grain Rain,30,2023-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2023-09,2023,9,Lập Hạ,Start of Summer,45,2023-05-06,Bắt đầu mùa hè,tinh-toan,
2023-10,2023,10,Tiểu Mãn,Grain Buds,60,2023-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2023-11,2023,11,Mang Chủng,Grain in Ear,75,2023-06-06,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2023-12,2023,12,Hạ Chí,Summer Solstice,90,2023-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2023-13,2023,13,Tiểu Thử,Minor Heat,105,2023-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2023-14,2023,14,Đại Thử,Major Heat,120,2023-07-23,Thời điểm nóng nhất trong năm,tinh-toan,
2023-15,2023,15,Lập Thu,Start of Autumn,135,2023-08-08,Bắt đầu mùa thu,tinh-toan,
2023-16,2023,16,Xử Thử,End of Heat,150,2023-08-23,Cái nóng lui dần,tinh-toan,
2023-17,2023,17,Bạch Lộ,White Dew,165,2023-09-08,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2023-18,2023,18,Thu Phân,Autumnal Equinox,180,2023-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2023-19,2023,19,Hàn Lộ,Cold Dew,195,2023-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2023-20,2023,20,Sương Giáng,Frost Descent,210,2023-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2023-21,2023,21,Lập Đông,Start of Winter,225,2023-11-07,Bắt đầu mùa đông,tinh-toan,
2023-22,2023,22,Tiểu Tuyết,Minor Snow,240,2023-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2023-23,2023,23,Đại Tuyết,Major Snow,255,2023-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2023-24,2023,24,Đông Chí,Winter Solstice,270,2023-12-22,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2024-01,2024,1,Tiểu Hàn,Minor Cold,285,2024-01-06,Bắt đầu rét đậm,tinh-toan,
2024-02,2024,2,Đại Hàn,Major Cold,300,2024-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2024-03,2024,3,Lập Xuân,Start of Spring,315,2024-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2024-04,2024,4,Vũ Thủy,Rain Water,330,2024-02-19,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2024-05,2024,5,Kinh Trập,Awakening of Insects,345,2024-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2024-06,2024,6,Xuân Phân,Vernal Equinox,0,2024-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2024-07,2024,7,Thanh Minh,Clear and Bright,15,2024-04-04,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2024-08,2024,8,Cốc Vũ,Grain Rain,30,2024-04-19,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2024-09,2024,9,Lập Hạ,Start of Summer,45,2024-05-05,Bắt đầu mùa hè,tinh-toan,
2024-10,2024,10,Tiểu Mãn,Grain Buds,60,2024-05-20,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2024-11,2024,11,Mang Chủng,Grain in Ear,75,2024-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2024-12,2024,12,Hạ Chí,Summer Solstice,90,2024-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2024-13,2024,13,Tiểu Thử,Minor Heat,105,2024-07-06,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2024-14,2024,14,Đại Thử,Major Heat,120,2024-07-22,Thời điểm nóng nhất trong năm,tinh-toan,
2024-15,2024,15,Lập Thu,Start of Autumn,135,2024-08-07,Bắt đầu mùa thu,tinh-toan,
2024-16,2024,16,Xử Thử,End of Heat,150,2024-08-22,Cái nóng lui dần,tinh-toan,
2024-17,2024,17,Bạch Lộ,White Dew,165,2024-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2024-18,2024,18,Thu Phân,Autumnal Equinox,180,2024-09-22,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2024-19,2024,19,Hàn Lộ,Cold Dew,195,2024-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2024-20,2024,20,Sương Giáng,Frost Descent,210,2024-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2024-21,2024,21,Lập Đông,Start of Winter,225,2024-11-07,Bắt đầu mùa đông,tinh-toan,
2024-22,2024,22,Tiểu Tuyết,Minor Snow,240,2024-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2024-23,2024,23,Đại Tuyết,Major Snow,255,2024-12-06,Tuyết rơi dày ở phương bắc,tinh-toan,
2024-24,2024,24,Đông Chí,Winter Solstice,270,2024-12-21,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2025-01,2025,1,Tiểu Hàn,Minor Cold,285,2025-01-05,Bắt đầu rét đậm,tinh-toan,
2025-02,2025,2,Đại Hàn,Major Cold,300,2025-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2025-03,2025,3,Lập Xuân,Start of Spring,315,2025-02-03,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2025-04,2025,4,Vũ Thủy,Rain Water,330,2025-02-18,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2025-05,2025,5,Kinh Trập,Awakening of Insects,345,2025-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2025-06,2025,6,Xuân Phân,Vernal Equinox,0,2025-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2025-07,2025,7,Thanh Minh,Clear and Bright,15,2025-04-04,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2025-08,2025,8,Cốc Vũ,Grain Rain,30,2025-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2025-09,2025,9,Lập Hạ,Start of Summer,45,2025-05-05,Bắt đầu mùa hè,tinh-toan,
2025-10,2025,10,Tiểu Mãn,Grain Buds,60,2025-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2025-11,2025,11,Mang Chủng,Grain in Ear,75,2025-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2025-12,2025,12,Hạ Chí,Summer Solstice,90,2025-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2025-13,2025,13,Tiểu Thử,Minor Heat,105,2025-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2025-14,2025,14,Đại Thử,Major Heat,120,2025-07-22,Thời điểm nóng nhất trong năm,tinh-toan,
2025-15,2025,15,Lập Thu,Start of Autumn,135,2025-08-07,Bắt đầu mùa thu,tinh-toan,
2025-16,2025,16,Xử Thử,End of Heat,150,2025-08-23,Cái nóng lui dần,tinh-toan,
2025-17,2025,17,Bạch Lộ,White Dew,165,2025-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2025-18,2025,18,Thu Phân,Autumnal Equinox,180,2025-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2025-19,2025,19,Hàn Lộ,Cold Dew,195,2025-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2025-20,2025,20,Sương Giáng,Frost Descent,210,2025-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2025-21,2025,21,Lập Đông,Start of Winter,225,2025-11-07,Bắt đầu mùa đông,tinh-toan,
2025-22,2025,22,Tiểu Tuyết,Minor Snow,240,2025-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2025-23,2025,23,Đại Tuyết,Major Snow,255,2025-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2025-24,2025,24,Đông Chí,Winter Solstice,270,2025-12-21,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2026-01,2026,1,Tiểu Hàn,Minor Cold,285,2026-01-05,Bắt đầu rét đậm,tinh-toan,
2026-02,2026,2,Đại Hàn,Major Cold,300,2026-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2026-03,2026,3,Lập Xuân,Start of Spring,315,2026-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2026-04,2026,4,Vũ Thủy,Rain Water,330,2026-02-18,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2026-05,2026,5,Kinh Trập,Awakening of Insects,345,2026-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2026-06,2026,6,Xuân Phân,Vernal Equinox,0,2026-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2026-07,2026,7,Thanh Minh,Clear and Bright,15,2026-04-05,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2026-08,2026,8,Cốc Vũ,Grain Rain,30,2026-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2026-09,2026,9,Lập Hạ,Start of Summer,45,2026-05-05,Bắt đầu mùa hè,tinh-toan,
2026-10,2026,10,Tiểu Mãn,Grain Buds,60,2026-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2026-11,2026,11,Mang Chủng,Grain in Ear,75,2026-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2026-12,2026,12,Hạ Chí,Summer Solstice,90,2026-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2026-13,2026,13,Tiểu Thử,Minor Heat,105,2026-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2026-14,2026,14,Đại Thử,Major Heat,120,2026-07-23,Thời điểm nóng nhất trong năm,tinh-toan,
2026-15,2026,15,Lập Thu,Start of Autumn,135,2026-08-07,Bắt đầu mùa thu,tinh-toan,
2026-16,2026,16,Xử Thử,End of Heat,150,2026-08-23,Cái nóng lui dần,tinh-toan,
2026-17,2026,17,Bạch Lộ,White Dew,165,2026-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2026-18,2026,18,Thu Phân,Autumnal Equinox,180,2026-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2026-19,2026,19,Hàn Lộ,Cold Dew,195,2026-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2026-20,2026,20,Sương Giáng,Frost Descent,210,2026-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2026-21,2026,21,Lập Đông,Start of Winter,225,2026-11-07,Bắt đầu mùa đông,tinh-toan,
2026-22,2026,22,Tiểu Tuyết,Minor Snow,240,2026-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2026-23,2026,23,Đại Tuyết,Major Snow,255,2026-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2026-24,2026,24,Đông Chí,Winter Solstice,270,2026-12-22,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2027-01,2027,1,Tiểu Hàn,Minor Cold,285,2027-01-05,Bắt đầu rét đậm,tinh-toan,
2027-02,2027,2,Đại Hàn,Major Cold,300,2027-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2027-03,2027,3,Lập Xuân,Start of Spring,315,2027-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2027-04,2027,4,Vũ Thủy,Rain Water,330,2027-02-19,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2027-05,2027,5,Kinh Trập,Awakening of Insects,345,2027-03-06,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2027-06,2027,6,Xuân Phân,Vernal Equinox,0,2027-03-21,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2027-07,2027,7,Thanh Minh,Clear and Bright,15,2027-04-05,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2027-08,2027,8,Cốc Vũ,Grain Rain,30,2027-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2027-09,2027,9,Lập Hạ,Start of Summer,45,2027-05-06,Bắt đầu mùa hè,tinh-toan,
2027-10,2027,10,Tiểu Mãn,Grain Buds,60,2027-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2027-11,2027,11,Mang Chủng,Grain in Ear,75,2027-06-06,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2027-12,2027,12,Hạ Chí,Summer Solstice,90,2027-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2027-13,2027,13,Tiểu Thử,Minor Heat,105,2027-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2027-14,2027,14,Đại Thử,Major Heat,120,2027-07-23,Thời điểm nóng nhất trong năm,tinh-toan,
2027-15,2027,15,Lập Thu,Start of Autumn,135,2027-08-08,Bắt đầu mùa thu,tinh-toan,
2027-16,2027,16,Xử Thử,End of Heat,150,2027-08-23,Cái nóng lui dần,tinh-toan,
2027-17,2027,17,Bạch Lộ,White Dew,165,2027-09-08,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2027-18,2027,18,Thu Phân,Autumnal Equinox,180,2027-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2027-19,2027,19,Hàn Lộ,Cold Dew,195,2027-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2027-20,2027,20,Sương Giáng,Frost Descent,210,2027-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2027-21,2027,21,Lập Đông,Start of Winter,225,2027-11-07,Bắt đầu mùa đông,tinh-toan,
2027-22,2027,22,Tiểu Tuyết,Minor Snow,240,2027-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2027-23,2027,23,Đại Tuyết,Major Snow,255,2027-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2027-24,2027,24,Đông Chí,Winter Solstice,270,2027-12-22,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2028-01,2028,1,Tiểu Hàn,Minor Cold,285,2028-01-06,Bắt đầu rét đậm,tinh-toan,
2028-02,2028,2,Đại Hàn,Major Cold,300,2028-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2028-03,2028,3,Lập Xuân,Start of Spring,315,2028-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2028-04,2028,4,Vũ Thủy,Rain Water,330,2028-02-19,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2028-05,2028,5,Kinh Trập,Awakening of Insects,345,2028-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2028-06,2028,6,Xuân Phân,Vernal Equinox,0,2028-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2028-07,2028,7,Thanh Minh,Clear and Bright,15,2028-04-04,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2028-08,2028,8,Cốc Vũ,Grain Rain,30,2028-04-19,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2028-09,2028,9,Lập Hạ,Start of Summer,45,2028-05-05,Bắt đầu mùa hè,tinh-toan,
2028-10,2028,10,Tiểu Mãn,Grain Buds,60,2028-05-20,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2028-11,2028,11,Mang Chủng,Grain in Ear,75,2028-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2028-12,2028,12,Hạ Chí,Summer Solstice,90,2028-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2028-13,2028,13,Tiểu Thử,Minor Heat,105,2028-07-06,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2028-14,2028,14,Đại Thử,Major Heat,120,2028-07-22,Thời điểm nóng nhất trong năm,tinh-toan,
2028-15,2028,15,Lập Thu,Start of Autumn,135,2028-08-07,Bắt đầu mùa thu,tinh-toan,
2028-16,2028,16,Xử Thử,End of Heat,150,2028-08-22,Cái nóng lui dần,tinh-toan,
2028-17,2028,17,Bạch Lộ,White Dew,165,2028-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2028-18,2028,18,Thu Phân,Autumnal Equinox,180,2028-09-22,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2028-19,2028,19,Hàn Lộ,Cold Dew,195,2028-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2028-20,2028,20,Sương Giáng,Frost Descent,210,2028-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2028-21,2028,21,Lập Đông,Start of Winter,225,2028-11-07,Bắt đầu mùa đông,tinh-toan,
