id,can_chi_ngay,chi_ngay,chi_gio,khung_gio,hoang_dao,nguon,ghi_chu
Tân Dậu-Dần,Tân Dậu,Dậu,Dần,3h-5h,co,tinh-toan,
Tân Dậu-Mão,Tân Dậu,Dậu,Mão,5h-7h,co,tinh-toan,
Tân Dậu-Thìn,Tân Dậu,Dậu,Thìn,7h-9h,khong,tinh-toan,
Tân Dậu-Tỵ,Tân Dậu,Dậu,Tỵ,9h-11h,khong,tinh-toan,
Tân Dậu-Ngọ,Tân Dậu,Dậu,Ngọ,11h-13h,co,tinh-toan,
Tân Dậu-Mùi,Tân Dậu,Dậu,Mùi,13h-15h,co,tinh-toan,
Tân Dậu-Thân,Tân Dậu,Dậu,Thân,15h-17h,khong,tinh-toan,
Tân Dậu-Dậu,Tân Dậu,Dậu,Dậu,17h-19h,co,tinh-toan,
Tân Dậu-Tuất,Tân Dậu,Dậu,Tuất,19h-21h,khong,tinh-toan,
Tân Dậu-Hợi,Tân Dậu,Dậu,Hợi,21h-23h,khong,tinh-toan,
Nhâm Tuất-Tý,Nhâm Tuất,Tuất,Tý,23h-1h,khong,tinh-toan,
Nhâm Tuất-Sửu,Nhâm Tuất,Tuất,Sửu,1h-3h,khong,tinh-toan,
Nhâm Tuất-Dần,Nhâm Tuất,Tuất,Dần,3h-5h,co,tinh-toan,
Nhâm Tuất-Mão,Nhâm Tuất,Tuất,Mão,5h-7h,khong,tinh-toan,
Nhâm Tuất-Thìn,Nhâm Tuất,Tuất,Thìn,7h-9h,co,tinh-toan,
Nhâm Tuất-Tỵ,Nhâm Tuất,Tuất,Tỵ,9h-11h,co,tinh-toan,
Nhâm Tuất-Ngọ,Nhâm Tuất,Tuất,Ngọ,11h-13h,khong,tinh-toan,
Nhâm Tuất-Mùi,Nhâm Tuất,Tuất,Mùi,13h-15h,khong,tinh-toan,
Nhâm Tuất-Thân,Nhâm Tuất,Tuất,Thân,15h-17h,co,tinh-toan,
Nhâm Tuất-Dậu,Nhâm Tuất,Tuất,Dậu,17h-19h,co,tinh-toan,
Nhâm Tuất-Tuất,Nhâm Tuất,Tuất,Tuất,19h-21h,khong,tinh-toan,
Nhâm Tuất-Hợi,Nhâm Tuất,Tuất,Hợi,21h-23h,co,tinh-toan,
Quý Hợi-Tý,Quý Hợi,Hợi,Tý,23h-1h,khong,tinh-toan,
Quý Hợi-Sửu,Quý Hợi,Hợi,Sửu,1h-3h,co,tinh-toan,
Quý Hợi-Dần,Quý Hợi,Hợi,Dần,3h-5h,khong,tinh-toan,
Quý Hợi-Mão,Quý Hợi,Hợi,Mão,5h-7h,khong,tinh-toan,
Quý Hợi-Thìn,Quý Hợi,Hợi,Thìn,7h-9h,co,tinh-toan,
Quý Hợi-Tỵ,Quý Hợi,Hợi,Tỵ,9h-11h,khong,tinh-toan,
Quý Hợi-Ngọ,Quý Hợi,Hợi,Ngọ,11h-13h,co,tinh-toan,
Quý Hợi-Mùi,Quý Hợi,Hợi,Mùi,13h-15h,co,tinh-toan,
Quý Hợi-Thân,Quý Hợi,Hợi,Thân,15h-17h,khong,tinh-toan,
Quý Hợi-Dậu,Quý Hợi,Hợi,Dậu,17h-19h,khong,tinh-toan,
Quý Hợi-Tuất,Quý Hợi,Hợi,Tuất,19h-21h,co,tinh-toan,
Quý Hợi-Hợi,Quý Hợi,Hợi,Hợi,21h-23h,co,tinh-toan,
Giáp Tý-Tý,Giáp Tý,Tý,Tý,23h-1h,co,tinh-toan,
Giáp Tý-Sửu,Giáp Tý,Tý,Sửu,1h-3h,co,tinh-toan,
Giáp Tý-Dần,Giáp Tý,Tý,Dần,3h-5h,khong,tinh-toan,
Giáp Tý-Mão,Giáp Tý,Tý,Mão,5h-7h,co,tinh-toan,
Giáp Tý-Thìn,Giáp Tý,Tý,Thìn,7h-9h,khong,tinh-toan,
Giáp Tý-Tỵ,Giáp Tý,Tý,Tỵ,9h-11h,khong,tinh-toan,
Giáp Tý-Ngọ,Giáp Tý,Tý,Ngọ,11h-13h,co,tinh-toan,
Giáp Tý-Mùi,Giáp Tý,Tý,Mùi,13h-15h,khong,tinh-toan,
Giáp Tý-Thân,Giáp Tý,Tý,Thân,15h-17h,co,tinh-toan,
Giáp Tý-Dậu,Giáp Tý,Tý,Dậu,17h-19h,co,tinh-toan,
Giáp Tý-Tuất,Giáp Tý,Tý,Tuất,19h-21h,khong,tinh-toan,
Giáp Tý-Hợi,Giáp Tý,Tý,Hợi,21h-23h,khong,tinh-toan,
Ất Sửu-Tý,Ất Sửu,Sửu,Tý,23h-1h,khong,tinh-toan,
Ất Sửu-Sửu,Ất Sửu,Sửu,Sửu,1h-3h,khong,tinh-toan,
Ất Sửu-Dần,Ất Sửu,Sửu,Dần,3h-5h,co,tinh-toan,
Ất Sửu-Mão,Ất Sửu,Sửu,Mão,5h-7h,co,tinh-toan,
Ất Sửu-Thìn,Ất Sửu,Sửu,Thìn,7h-9h,khong,tinh-toan,
Ất Sửu-Tỵ,Ất Sửu,Sửu,Tỵ,9h-11h,co,tinh-toan,
Ất Sửu-Ngọ,Ất Sửu,Sửu,Ngọ,11h-13h,khong,tinh-toan,
Ất Sửu-Mùi,Ất Sửu,Sửu,Mùi,13h-15h,khong,tinh-toan,
Ất Sửu-Thân,Ất Sửu,Sửu,Thân,15h-17h,co,tinh-toan,
Ất Sửu-Dậu,Ất Sửu,Sửu,Dậu,17h-19h,khong,tinh-toan,
Ất Sửu-Tuất,Ất Sửu,Sửu,Tuất,19h-21h,co,tinh-toan,
Ất Sửu-Hợi,Ất Sửu,Sửu,Hợi,21h-23h,co,tinh-toan,
Bính Dần-Tý,Bính Dần,Dần,Tý,23h-1h,co,tinh-toan,
Bính Dần-Sửu,Bính Dần,Dần,Sửu,1h-3h,co,tinh-toan,
Bính Dần-Dần,Bính Dần,Dần,Dần,3h-5h,khong,tinh-toan,
Bính Dần-Mão,Bính Dần,Dần,Mão,5h-7h,khong,tinh-toan,
Bính Dần-Thìn,Bính Dần,Dần,Thìn,7h-9h,co,tinh-toan,
Bính Dần-Tỵ,Bính Dần,Dần,Tỵ,9h-11h,co,tinh-toan,
Bính Dần-Ngọ,Bính Dần,Dần,Ngọ,11h-13h,khong,tinh-toan,
Bính Dần-Mùi,Bính Dần,Dần,Mùi,13h-15h,co,tinh-toan,
Bính Dần-Thân,Bính Dần,Dần,Thân,15h-17h,khong,tinh-toan,
Bính Dần-Dậu,Bính Dần,Dần,Dậu,17h-19h,khong,tinh-toan,
Bính Dần-Tuất,Bính Dần,Dần,Tuất,19h-21h,co,tinh-toan,
Bính Dần-Hợi,Bính Dần,Dần,Hợi,21h-23h,khong,tinh-toan,
Đinh Mão-Tý,Đinh Mão,Mão,Tý,23h-1h,co,tinh-toan,
Đinh Mão-Sửu,Đinh Mão,Mão,Sửu,1h-3h,khong,tinh-toan,
Đinh Mão-Dần,Đinh Mão,Mão,Dần,3h-5h,co,tinh-toan,
Đinh Mão-Mão,Đinh Mão,Mão,Mão,5h-7h,co,tinh-toan,
Đinh Mão-Thìn,Đinh Mão,Mão,Thìn,7h-9h,khong,tinh-toan,
Đinh Mão-Tỵ,Đinh Mão,Mão,Tỵ,9h-11h,khong,tinh-toan,
Đinh Mão-Ngọ,Đinh Mão,Mão,Ngọ,11h-13h,co,tinh-toan,
Đinh Mão-Mùi,Đinh Mão,Mão,Mùi,13h-15h,co,tinh-toan,
Đinh Mão-Thân,Đinh Mão,Mão,Thân,15h-17h,khong,tinh-toan,
Đinh Mão-Dậu,Đinh Mão,Mão,Dậu,17h-19h,co,tinh-toan,
Đinh Mão-Tuất,Đinh Mão,Mão,Tuất,19h-21h,khong,tinh-toan,
Đinh Mão-Hợi,Đinh Mão,Mão,Hợi,21h-23h,khong,tinh-toan,
Mậu Thìn-Tý,Mậu Thìn,Thìn,Tý,23h-1h,khong,tinh-toan,
Mậu Thìn-Sửu,Mậu Thìn,Thìn,Sửu,1h-3h,khong,tinh-toan,
Mậu Thìn-Dần,Mậu Thìn,Thìn,Dần,3h-5h,co,tinh-toan,
Mậu Thìn-Mão,Mậu Thìn,Thìn,Mão,5h-7h,khong,tinh-toan,
Mậu Thìn-Thìn,Mậu Thìn,Thìn,Thìn,7h-9h,co,tinh-toan,
Mậu Thìn-Tỵ,Mậu Thìn,Thìn,Tỵ,9h-11h,co,tinh-toan,
Mậu Thìn-Ngọ,Mậu Thìn,Thìn,Ngọ,11h-13h,khong,tinh-toan,
Mậu Thìn-Mùi,Mậu Thìn,Thìn,Mùi,13h-15h,khong,tinh-toan,
Mậu Thìn-Thân,Mậu Thìn,Thìn,Thân,15h-17h,co,tinh-toan,
Mậu Thìn-Dậu,Mậu Thìn,Thìn,Dậu,17h-19h,co,tinh-toan,
Mậu Thìn-Tuất,Mậu Thìn,Thìn,Tuất,19h-21h,khong,tinh-toan,
Mậu Thìn-Hợi,Mậu Thìn,Thìn,Hợi,21h-23h,co,tinh-toan,
Kỷ Tỵ-Tý,Kỷ Tỵ,Tỵ,Tý,23h-1h,khong,tinh-toan,
Kỷ Tỵ-Sửu,Kỷ Tỵ,Tỵ,Sửu,1h-3h,co,tinh-toan,
Kỷ Tỵ-Dần,Kỷ Tỵ,Tỵ,Dần,3h-5h,khong,tinh-toan,
Kỷ Tỵ-Mão,Kỷ Tỵ,Tỵ,Mão,5h-7h,khong,tinh-toan,
Kỷ Tỵ-Thìn,Kỷ Tỵ,Tỵ,Thìn,7h-9h,co,tinh-toan,
Kỷ Tỵ-Tỵ,Kỷ Tỵ,Tỵ,Tỵ,9h-11h,khong,tinh-toan,
Kỷ Tỵ-Ngọ,Kỷ Tỵ,Tỵ,Ngọ,11h-13h,co,tinh-toan,
Kỷ Tỵ-Mùi,Kỷ Tỵ,Tỵ,Mùi,13h-15h,co,tinh-toan,
Kỷ Tỵ-Thân,Kỷ Tỵ,Tỵ,Thân,15h-17h,khong,tinh-toan,
Kỷ Tỵ-Dậu,Kỷ Tỵ,Tỵ,Dậu,17h-19h,khong,tinh-toan,
Kỷ Tỵ-Tuất,Kỷ Tỵ,Tỵ,Tuất,19h-21h,co,tinh-toan,
Kỷ Tỵ-Hợi,Kỷ Tỵ,Tỵ,Hợi,21h-23h,co,tinh-toan,
Canh Ngọ-Tý,Canh Ngọ,Ngọ,Tý,23h-1h,co,tinh-toan,
Canh Ngọ-Sửu,Canh Ngọ,Ngọ,Sửu,1h-3h,co,tinh-toan,
Canh Ngọ-Dần,Canh Ngọ,Ngọ,Dần,3h-5h,khong,tinh-toan,
Canh Ngọ-Mão,Canh Ngọ,Ngọ,Mão,5h-7h,co,tinh-toan,
Canh Ngọ-Thìn,Canh Ngọ,Ngọ,Thìn,7h-9h,khong,tinh-toan,
Canh Ngọ-Tỵ,Canh Ngọ,Ngọ,Tỵ,9h-11h,khong,tinh-toan,
Canh Ngọ-Ngọ,Canh Ngọ,Ngọ,Ngọ,11h-13h,co,tinh-toan,
Canh Ngọ-Mùi,Canh Ngọ,Ngọ,Mùi,13h-15h,khong,tinh-toan,
Canh Ngọ-Thân,Canh Ngọ,Ngọ,Thân,15h-17h,co,tinh-toan,
Canh Ngọ-Dậu,Canh Ngọ,Ngọ,Dậu,17h-19h,co,tinh-toan,
Canh Ngọ-Tuất,Canh Ngọ,Ngọ,Tuất,19h-21h,khong,tinh-toan,
Canh Ngọ-Hợi,Canh Ngọ,Ngọ,Hợi,21h-23h,khong,tinh-toan,
Tân Mùi-Tý,Tân Mùi,Mùi,Tý,23h-1h,khong,tinh-toan,
Tân Mùi-Sửu,Tân Mùi,Mùi,Sửu,1h-3h,khong,tinh-toan,
Tân Mùi-Dần,Tân Mùi,Mùi,Dần,3h-5h,co,tinh-toan,
Tân Mùi-Mão,Tân Mùi,Mùi,Mão,5h-7h,co,tinh-toan,
Tân Mùi-Thìn,Tân Mùi,Mùi,Thìn,7h-9h,khong,tinh-toan,
Tân Mùi-Tỵ,Tân Mùi,Mùi,Tỵ,9h-11h,co,tinh-toan,
Tân Mùi-Ngọ,Tân Mùi,Mùi,Ngọ,11h-13h,khong,tinh-toan,
Tân Mùi-Mùi,Tân Mùi,Mùi,Mùi,13h-15h,khong,tinh-toan,
Tân Mùi-Thân,Tân Mùi,Mùi,Thân,15h-17h,co,tinh-toan,
Tân Mùi-Dậu,Tân Mùi,Mùi,Dậu,17h-19h,khong,tinh-toan,
Tân Mùi-Tuất,Tân Mùi,Mùi,Tuất,19h-21h,co,tinh-toan,
Tân Mùi-Hợi,Tân Mùi,Mùi,Hợi,21h-23h,co,tinh-toan,
Nhâm Thân-Tý,Nhâm Thân,Thân,Tý,23h-1h,co,tinh-toan,
Nhâm Thân-Sửu,Nhâm Thân,Thân,Sửu,1h-3h,co,tinh-toan,
Nhâm Thân-Dần,Nhâm Thân,Thân,Dần,3h-5h,khong,tinh-toan,
Nhâm Thân-Mão,Nhâm Thân,Thân,Mão,5h-7h,khong,tinh-toan,
Nhâm Thân-Thìn,Nhâm Thân,Thân,Thìn,7h-9h,co,tinh-toan,
Nhâm Thân-Tỵ,Nhâm Thân,Thân,Tỵ,9h-11h,co,tinh-toan,
Nhâm Thân-Ngọ,Nhâm Thân,Thân,Ngọ,11h-13h,khong,tinh-toan,
Nhâm Thân-Mùi,Nhâm Thân,Thân,Mùi,13h-15h,co,tinh-toan,
Nhâm Thân-Thân,Nhâm Thân,Thân,Thân,15h-17h,khong,tinh-toan,
Nhâm Thân-Dậu,Nhâm Thân,Thân,Dậu,17h-19h,khong,tinh-toan,
Nhâm Thân-Tuất,Nhâm Thân,Thân,Tuất,19h-21h,co,tinh-toan,
Nhâm Thân-Hợi,Nhâm Thân,Thân,Hợi,21h-23h,khong,tinh-toan,
Quý Dậu-Tý,Quý Dậu,Dậu,Tý,23h-1h,co,tinh-toan,
Quý Dậu-Sửu,Quý Dậu,Dậu,Sửu,1h-3h,khong,tinh-toan,
Quý Dậu-Dần,Quý Dậu,Dậu,Dần,3h-5h,co,tinh-toan,
Quý Dậu-Mão,Quý Dậu,Dậu,Mão,5h-7h,co,tinh-toan,
Quý Dậu-Thìn,Quý Dậu,Dậu,Thìn,7h-9h,khong,tinh-toan,
Quý Dậu-Tỵ,Quý Dậu,Dậu,Tỵ,9h-11h,khong,tinh-toan,
Quý Dậu-Ngọ,Quý Dậu,Dậu,Ngọ,11h-13h,co,tinh-toan,
Quý Dậu-Mùi,Quý Dậu,Dậu,Mùi,13h-15h,co,tinh-toan,
Quý Dậu-Thân,Quý Dậu,Dậu,Thân,15h-17h,khong,tinh-toan,
Quý Dậu-Dậu,Quý Dậu,Dậu,Dậu,17h-19h,co,tinh-toan,
Quý Dậu-Tuất,Quý Dậu,Dậu,Tuất,19h-21h,khong,tinh-toan,
Quý Dậu-Hợi,Quý Dậu,Dậu,Hợi,21h-23h,khong,tinh-toan,
Giáp Tuất-Tý,Giáp Tuất,Tuất,Tý,23h-1h,khong,tinh-toan,
Giáp Tuất-Sửu,Giáp Tuất,Tuất,Sửu,1h-3h,khong,tinh-toan,
Giáp Tuất-Dần,Giáp Tuất,Tuất,Dần,3h-5h,co,tinh-toan,
Giáp Tuất-Mão,Giáp Tuất,Tuất,Mão,5h-7h,khong,tinh-toan,
Giáp Tuất-Thìn,Giáp Tuất,Tuất,Thìn,7h-9h,co,tinh-toan,
Giáp Tuất-Tỵ,Giáp Tuất,Tuất,Tỵ,9h-11h,co,tinh-toan,
Giáp Tuất-Ngọ,Giáp Tuất,Tuất,Ngọ,11h-13h,khong,tinh-toan,
Giáp Tuất-Mùi,Giáp Tuất,Tuất,Mùi,13h-15h,khong,tinh-toan,
Giáp Tuất-Thân,Giáp Tuất,Tuất,Thân,15h-17h,co,tinh-toan,
Giáp Tuất-Dậu,Giáp Tuất,Tuất,Dậu,17h-19h,co,tinh-toan,
Giáp Tuất-Tuất,Giáp Tuất,Tuất,Tuất,19h-21h,khong,tinh-toan,
Giáp Tuất-Hợi,Giáp Tuất,Tuất,Hợi,21h-23h,co,tinh-toan,
Ất Hợi-Tý,Ất Hợi,Hợi,Tý,23h-1h,khong,tinh-toan,
Ất Hợi-Sửu,Ất Hợi,Hợi,Sửu,1h-3h,co,tinh-toan,
Ất Hợi-Dần,Ất Hợi,Hợi,Dần,3h-5h,khong,tinh-toan,
Ất Hợi-Mão,Ất Hợi,Hợi,Mão,5h-7h,khong,tinh-toan,
Ất Hợi-Thìn,Ất Hợi,Hợi,Thìn,7h-9h,co,tinh-toan,
Ất Hợi-Tỵ,Ất Hợi,Hợi,Tỵ,9h-11h,khong,tinh-toan,
Ất Hợi-Ngọ,Ất Hợi,Hợi,Ngọ,11h-13h,co,tinh-toan,
Ất Hợi-Mùi,Ất Hợi,Hợi,Mùi,13h-15h,co,tinh-toan,
Ất Hợi-Thân,Ất Hợi,Hợi,Thân,15h-17h,khong,tinh-toan,
Ất Hợi-Dậu,Ất Hợi,Hợi,Dậu,17h-19h,khong,tinh-toan,
Ất Hợi-Tuất,Ất Hợi,Hợi,Tuất,19h-21h,co,tinh-toan,
Ất Hợi-Hợi,Ất Hợi,Hợi,Hợi,21h-23h,co,tinh-toan,
Bính Tý-Tý,Bính Tý,Tý,Tý,23h-1h,co,tinh-toan,
Bính Tý-Sửu,Bính Tý,Tý,Sửu,1h-3h,co,tinh-toan,
Bính Tý-Dần,Bính Tý,Tý,Dần,3h-5h,khong,tinh-toan,
Bính Tý-Mão,Bính Tý,Tý,Mão,5h-7h,co,tinh-toan,
Bính Tý-Thìn,Bính Tý,Tý,Thìn,7h-9h,khong,tinh-toan,
Bính Tý-Tỵ,Bính Tý,Tý,Tỵ,9h-11h,khong,tinh-toan,
Bính Tý-Ngọ,Bính Tý,Tý,Ngọ,11h-13h,co,tinh-toan,
Bính Tý-Mùi,Bính Tý,Tý,Mùi,13h-15h,khong,tinh-toan,
Bính Tý-Thân,Bính Tý,Tý,Thân,15h-17h,co,tinh-toan,
Bính Tý-Dậu,Bính Tý,Tý,Dậu,17h-19h,co,tinh-toan,
Bính Tý-Tuất,Bính Tý,Tý,Tuất,19h-21h,khong,tinh-toan,
Bính Tý-Hợi,Bính Tý,Tý,Hợi,21h-23h,khong,tinh-toan,
Đinh Sửu-Tý,Đinh Sửu,Sửu,Tý,23h-1h,khong,tinh-toan,
Đinh Sửu-Sửu,Đinh Sửu,Sửu,Sửu,1h-3h,khong,tinh-toan,
Đinh Sửu-Dần,Đinh Sửu,Sửu,Dần,3h-5h,co,tinh-toan,
Đinh Sửu-Mão,Đinh Sửu,Sửu,Mão,5h-7h,co,tinh-toan,
Đinh Sửu-Thìn,Đinh Sửu,Sửu,Thìn,7h-9h,khong,tinh-toan,
Đinh Sửu-Tỵ,Đinh Sửu,Sửu,Tỵ,9h-11h,co,tinh-toan,
Đinh Sửu-Ngọ,Đinh Sửu,Sửu,Ngọ,11h-13h,khong,tinh-toan,
Đinh Sửu-Mùi,Đinh Sửu,Sửu,Mùi,13h-15h,khong,tinh-toan,
Đinh Sửu-Thân,Đinh Sửu,Sửu,Thân,15h-17h,co,tinh-toan,
Đinh Sửu-Dậu,Đinh Sửu,Sửu,Dậu,17h-19h,khong,tinh-toan,
Đinh Sửu-Tuất,Đinh Sửu,Sửu,Tuất,19h-21h,co,tinh-toan,
Đinh Sửu-Hợi,Đinh Sửu,Sửu,Hợi,21h-23h,co,tinh-toan,
Mậu Dần-Tý,Mậu Dần,Dần,Tý,23h-1h,co,tinh-toan,
Mậu Dần-Sửu,Mậu Dần,Dần,Sửu,1h-3h,co,tinh-toan,
Mậu Dần-Dần,Mậu Dần,Dần,Dần,3h-5h,khong,tinh-toan,
Mậu Dần-Mão,Mậu Dần,Dần,Mão,5h-7h,khong,tinh-toan,
Mậu Dần-Thìn,Mậu Dần,Dần,Thìn,7h-9h,co,tinh-toan,
Mậu Dần-Tỵ,Mậu Dần,Dần,Tỵ,9h-11h,co,tinh-toan,
Mậu Dần-Ngọ,Mậu Dần,Dần,Ngọ,11h-13h,khong,tinh-toan,
Mậu Dần-Mùi,Mậu Dần,Dần,Mùi,13h-15h,co,tinh-toan,
Mậu Dần-Thân,Mậu Dần,Dần,Thân,15h-17h,khong,tinh-toan,
Mậu Dần-Dậu,Mậu Dần,Dần,Dậu,17h-19h,khong,tinh-toan,
Mậu Dần-Tuất,Mậu Dần,Dần,Tuất,19h-21h,co,tinh-toan,
Mậu Dần-Hợi,Mậu Dần,Dần,Hợi,21h-23h,khong,tinh-toan,
Kỷ Mão-Tý,Kỷ Mão,Mão,Tý,23h-1h,co,tinh-toan,
Kỷ Mão-Sửu,Kỷ Mão,Mão,Sửu,1h-3h,khong,tinh-toan,
Kỷ Mão-Dần,Kỷ Mão,Mão,Dần,3h-5h,co,tinh-toan,
Kỷ Mão-Mão,Kỷ Mão,Mão,Mão,5h-7h,co,tinh-toan,
Kỷ Mão-Thìn,Kỷ Mão,Mão,Thìn,7h-9h,khong,tinh-toan,
Kỷ Mão-Tỵ,Kỷ Mão,Mão,Tỵ,9h-11h,khong,tinh-toan,
Kỷ Mão-Ngọ,Kỷ Mão,Mão,Ngọ,11h-13h,co,tinh-toan,
Kỷ Mão-Mùi,Kỷ Mão,Mão,Mùi,13h-15h,co,tinh-toan,
Kỷ Mão-Thân,Kỷ Mão,Mão,Thân,15h-17h,khong,tinh-toan,
Kỷ Mão-Dậu,Kỷ Mão,Mão,Dậu,17h-19h,co,tinh-toan,
Kỷ Mão-Tuất,Kỷ Mão,Mão,Tuất,19h-21h,khong,tinh-toan,
Kỷ Mão-Hợi,Kỷ Mão,Mão,Hợi,21h-23h,khong,tinh-toan,
Canh Thìn-Tý,Canh Thìn,Thìn,Tý,23h-1h,khong,tinh-toan,
Canh Thìn-Sửu,Canh Thìn,Thìn,Sửu,1h-3h,khong,tinh-toan,
Canh Thìn-Dần,Canh Thìn,Thìn,Dần,3h-5h,co,tinh-toan,
Canh Thìn-Mão,Canh Thìn,Thìn,Mão,5h-7h,khong,tinh-toan,
Canh Thìn-Thìn,Canh Thìn,Thìn,Thìn,7h-9h,co,tinh-toan,
Canh Thìn-Tỵ,Canh Thìn,Thìn,Tỵ,9h-11h,co,tinh-toan,
Canh Thìn-Ngọ,Canh Thìn,Thìn,Ngọ,11h-13h,khong,tinh-toan,
Canh Thìn-Mùi,Canh Thìn,Thìn,Mùi,13h-15h,khong,tinh-toan,
Canh Thìn-Thân,Canh Thìn,Thìn,Thân,15h-17h,co,tinh-toan,
Canh Thìn-Dậu,Canh Thìn,Thìn,Dậu,17h-19h,co,tinh-toan,
Canh Thìn-Tuất,Canh Thìn,Thìn,Tuất,19h-21h,khong,tinh-toan,
Canh Thìn-Hợi,Canh Thìn,Thìn,Hợi,21h-23h,co,tinh-toan,
Tân Tỵ-Tý,Tân Tỵ,Tỵ,Tý,23h-1h,khong,tinh-toan,
Tân Tỵ-Sửu,Tân Tỵ,Tỵ,Sửu,1h-3h,co,tinh-toan,
Tân Tỵ-Dần,Tân Tỵ,Tỵ,Dần,3h-5h,khong,tinh-toan,
Tân Tỵ-Mão,Tân Tỵ,Tỵ,Mão,5h-7h,khong,tinh-toan,
Tân Tỵ-Thìn,Tân Tỵ,Tỵ,Thìn,7h-9h,co,tinh-toan,
Tân Tỵ-Tỵ,Tân Tỵ,Tỵ,Tỵ,9h-11h,khong,tinh-toan,
Tân Tỵ-Ngọ,Tân Tỵ,Tỵ,Ngọ,11h-13h,co,tinh-toan,
Tân Tỵ-Mùi,Tân Tỵ,Tỵ,Mùi,13h-15h,co,tinh-toan,
Tân Tỵ-Thân,Tân Tỵ,Tỵ,Thân,15h-17h,khong,tinh-toan,
Tân Tỵ-Dậu,Tân Tỵ,Tỵ,Dậu,17h-19h,khong,tinh-toan,
Tân Tỵ-Tuất,Tân Tỵ,Tỵ,Tuất,19h-21h,co,tinh-toan,
Tân Tỵ-Hợi,Tân Tỵ,Tỵ,Hợi,21h-23h,co,tinh-toan,
Nhâm Ngọ-Tý,Nhâm Ngọ,Ngọ,Tý,23h-1h,co,tinh-toan,
