id,nam_sinh,gioi_tinh,cung_phi,que_menh,nhom_menh,huong_tot,huong_xau,nguon,ghi_chu
1900-nam,1900,Nam,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1905-nu,1905,Nữ,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1906-nam,1906,Nam,4,Tốn,dong_tu_menh,Bắc (Sinh Khí); Nam (Thiên Y); Đông (Diên Niên); Đông Nam (Phục Vị),Tây Bắc (Họa Hại); Tây (Lục Sát); Tây Nam (Ngũ Quỷ); Đông Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1906-nu,1906,Nữ,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1907-nam,1907,Nam,3,Chấn,dong_tu_menh,Nam (Sinh Khí); Bắc (Thiên Y); Đông Nam (Diên Niên); Đông (Phục Vị),Tây Nam (Họa Hại); Đông Bắc (Lục Sát); Tây Bắc (Ngũ Quỷ); Tây (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1907-nu,1907,Nữ,3,Chấn,dong_tu_menh,Nam (Sinh Khí); Bắc (Thiên Y); Đông Nam (Diên Niên); Đông (Phục Vị),Tây Nam (Họa Hại); Đông Bắc (Lục Sát); Tây Bắc (Ngũ Quỷ); Tây (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1908-nam,1908,Nam,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1908-nu,1908,Nữ,4,Tốn,dong_tu_menh,Bắc (Sinh Khí); Nam (Thiên Y); Đông (Diên Niên); Đông Nam (Phục Vị),Tây Bắc (Họa Hại); Tây (Lục Sát); Tây Nam (Ngũ Quỷ); Đông Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1909-nam,1909,Nam,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1909-nu,1909,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1910-nam,1910,Nam,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1910-nu,1910,Nữ,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1911-nam,1911,Nam,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1911-nu,1911,Nữ,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1912-nam,1912,Nam,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1912-nu,1912,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1913-nam,1913,Nam,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1913-nu,1913,Nữ,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1914-nam,1914,Nam,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1914-nu,1914,Nữ,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1915-nam,1915,Nam,4,Tốn,dong_tu_menh,Bắc (Sinh Khí); Nam (Thiên Y); Đông (Diên Niên); Đông Nam (Phục Vị),Tây Bắc (Họa Hại); Tây (Lục Sát); Tây Nam (Ngũ Quỷ); Đông Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1915-nu,1915,Nữ,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1916-nam,1916,Nam,3,Chấn,dong_tu_menh,Nam (Sinh Khí); Bắc (Thiên Y); Đông Nam (Diên Niên); Đông (Phục Vị),Tây Nam (Họa Hại); Đông Bắc (Lục Sát); Tây Bắc (Ngũ Quỷ); Tây (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1916-nu,1916,Nữ,3,Chấn,dong_tu_menh,Nam (Sinh Khí); Bắc (Thiên Y); Đông Nam (Diên Niên); Đông (Phục Vị),Tây Nam (Họa Hại); Đông Bắc (Lục Sát); Tây Bắc (Ngũ Quỷ); Tây (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1917-nam,1917,Nam,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1917-nu,1917,Nữ,4,Tốn,dong_tu_menh,Bắc (Sinh Khí); Nam (Thiên Y); Đông (Diên Niên); Đông Nam (Phục Vị),Tây Bắc (Họa Hại); Tây (Lục Sát); Tây Nam (Ngũ Quỷ); Đông Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1918-nam,1918,Nam,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1918-nu,1918,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1919-nam,1919,Nam,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1919-nu,1919,Nữ,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1920-nam,1920,Nam,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1920-nu,1920,Nữ,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1921-nam,1921,Nam,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1921-nu,1921,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1922-nam,1922,Nam,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1922-nu,1922,Nữ,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1923-nam,1923,Nam,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1923-nu,1923,Nữ,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1924-nam,1924,Nam,4,Tốn,dong_tu_menh,Bắc (Sinh Khí); Nam (Thiên Y); Đông (Diên Niên); Đông Nam (Phục Vị),Tây Bắc (Họa Hại); Tây (Lục Sát); Tây Nam (Ngũ Quỷ); Đông Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1924-nu,1924,Nữ,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1925-nam,1925,Nam,3,Chấn,dong_tu_menh,Nam (Sinh Khí); Bắc (Thiên Y); Đông Nam (Diên Niên); Đông (Phục Vị),Tây Nam (Họa Hại); Đông Bắc (Lục Sát); Tây Bắc (Ngũ Quỷ); Tây (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1925-nu,1925,Nữ,3,Chấn,dong_tu_menh,Nam (Sinh Khí); Bắc (Thiên Y); Đông Nam (Diên Niên); Đông (Phục Vị),Tây Nam (Họa Hại); Đông Bắc (Lục Sát); Tây Bắc (Ngũ Quỷ); Tây (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1926-nam,1926,Nam,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1926-nu,1926,Nữ,4,Tốn,dong_tu_menh,Bắc (Sinh Khí); Nam (Thiên Y); Đông (Diên Niên); Đông Nam (Phục Vị),Tây Bắc (Họa Hại); Tây (Lục Sát); Tây Nam (Ngũ Quỷ); Đông Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1927-nam,1927,Nam,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1927-nu,1927,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1928-nam,1928,Nam,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1928-nu,1928,Nữ,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1929-nam,1929,Nam,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1929-nu,1929,Nữ,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1930-nam,1930,Nam,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1930-nu,1930,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1931-nam,1931,Nam,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1931-nu,1931,Nữ,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1932-nam,1932,Nam,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1932-nu,1932,Nữ,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1933-nam,1933,Nam,4,Tốn,dong_tu_menh,Bắc (Sinh Khí); Nam (Thiên Y); Đông (Diên Niên); Đông Nam (Phục Vị),Tây Bắc (Họa Hại); Tây (Lục Sát); Tây Nam (Ngũ Quỷ); Đông Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1933-nu,1933,Nữ,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1934-nam,1934,Nam,3,Chấn,dong_tu_menh,Nam (Sinh Khí); Bắc (Thiên Y); Đông Nam (Diên Niên); Đông (Phục Vị),Tây Nam (Họa Hại); Đông Bắc (Lục Sát); Tây Bắc (Ngũ Quỷ); Tây (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1934-nu,1934,Nữ,3,Chấn,dong_tu_menh,Nam (Sinh Khí); Bắc (Thiên Y); Đông Nam (Diên Niên); Đông (Phục Vị),Tây Nam (Họa Hại); Đông Bắc (Lục Sát); Tây Bắc (Ngũ Quỷ); Tây (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1935-nam,1935,Nam,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1935-nu,1935,Nữ,4,Tốn,dong_tu_menh,Bắc (Sinh Khí); Nam (Thiên Y); Đông (Diên Niên); Đông Nam (Phục Vị),Tây Bắc (Họa Hại); Tây (Lục Sát); Tây Nam (Ngũ Quỷ); Đông Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1936-nam,1936,Nam,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1936-nu,1936,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1937-nam,1937,Nam,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1937-nu,1937,Nữ,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1938-nam,1938,Nam,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1938-nu,1938,Nữ,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1939-nam,1939,Nam,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1939-nu,1939,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1940-nam,1940,Nam,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1940-nu,1940,Nữ,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1941-nam,1941,Nam,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1941-nu,1941,Nữ,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1942-nam,1942,Nam,4,Tốn,dong_tu_menh,Bắc (Sinh Khí); Nam (Thiên Y); Đông (Diên Niên); Đông Nam (Phục Vị),Tây Bắc (Họa Hại); Tây (Lục Sát); Tây Nam (Ngũ Quỷ); Đông Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1942-nu,1942,Nữ,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
