id,nam,ten,ten_en,kinh_do,ngay_bat_dau,gio,phut,sat_nua_dem,nguon,ghi_chu
1902-23,1902,Kinh Trập,Awakening of Insects,345,1902-03-06,19,2,khong,tinh-toan,
1902-00,1902,Xuân Phân,Vernal Equinox,0,1902-03-21,20,14,khong,tinh-toan,
1902-01,1902,Thanh Minh,Clear and Bright,15,1902-04-06,0,32,khong,tinh-toan,
1902-02,1902,Cốc Vũ,Grain Rain,30,1902-04-21,8,0,khong,tinh-toan,
1902-03,1902,Lập Hạ,Start of Summer,45,1902-05-06,18,33,khong,tinh-toan,
1902-04,1902,Tiểu Mãn,Grain Buds,60,1902-05-22,7,49,khong,tinh-toan,
1902-05,1902,Mang Chủng,Grain in Ear,75,1902-06-06,23,15,khong,tinh-toan,
1902-06,1902,Hạ Chí,Summer Solstice,90,1902-06-22,16,11,khong,tinh-toan,
1902-07,1902,Tiểu Thử,Minor Heat,105,1902-07-08,9,45,khong,tinh-toan,
1902-08,1902,Đại Thử,Major Heat,120,1902-07-24,3,6,khong,tinh-toan,
1902-09,1902,Lập Thu,Start of Autumn,135,1902-08-08,19,23,khong,tinh-toan,
1902-10,1902,Xử Thử,End of Heat,150,1902-08-24,9,49,khong,tinh-toan,
1902-11,1902,Bạch Lộ,White Dew,165,1902-09-08,21,46,khong,tinh-toan,
1902-12,1902,Thu Phân,Autumnal Equinox,180,1902-09-24,6,49,khong,tinh-toan,
1902-13,1902,Hàn Lộ,Cold Dew,195,1902-10-09,12,43,khong,tinh-toan,
1902-14,1902,Sương Giáng,Frost Descent,210,1902-10-24,15,26,khong,tinh-toan,
1902-15,1902,Lập Đông,Start of Winter,225,1902-11-08,15,11,khong,tinh-toan,
1902-16,1902,Tiểu Tuyết,Minor Snow,240,1902-11-23,12,22,khong,tinh-toan,
1902-17,1902,Đại Tuyết,Major Snow,255,1902-12-08,7,32,khong,tinh-toan,
1902-18,1902,Đông Chí,Winter Solstice,270,1902-12-23,1,21,khong,tinh-toan,
1903-19,1903,Tiểu Hàn,Minor Cold,285,1903-01-06,18,34,khong,tinh-toan,
1903-20,1903,Đại Hàn,Major Cold,300,1903-01-21,11,59,khong,tinh-toan,
1903-21,1903,Lập Xuân,Start of Spring,315,1903-02-05,6,22,khong,tinh-toan,
1903-22,1903,Vũ Thủy,Rain Water,330,1903-02-20,2,27,khong,tinh-toan,
1903-23,1903,Kinh Trập,Awakening of Insects,345,1903-03-07,0,52,khong,tinh-toan,
1903-00,1903,Xuân Phân,Vernal Equinox,0,1903-03-22,2,4,khong,tinh-toan,
1903-01,1903,Thanh Minh,Clear and Bright,15,1903-04-06,6,21,khong,tinh-toan,
1903-02,1903,Cốc Vũ,Grain Rain,30,1903-04-21,13,49,khong,tinh-toan,
1903-03,1903,Lập Hạ,Start of Summer,45,1903-05-07,0,22,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1903-04,1903,Tiểu Mãn,Grain Buds,60,1903-05-22,13,37,khong,tinh-toan,
1903-05,1903,Mang Chủng,Grain in Ear,75,1903-06-07,5,4,khong,tinh-toan,
1903-06,1903,Hạ Chí,Summer Solstice,90,1903-06-22,21,59,khong,tinh-toan,
1903-07,1903,Tiểu Thử,Minor Heat,105,1903-07-08,15,32,khong,tinh-toan,
1903-08,1903,Đại Thử,Major Heat,120,1903-07-24,8,53,khong,tinh-toan,
1903-09,1903,Lập Thu,Start of Autumn,135,1903-08-09,1,10,khong,tinh-toan,
1903-10,1903,Xử Thử,End of Heat,150,1903-08-24,15,37,khong,tinh-toan,
1903-11,1903,Bạch Lộ,White Dew,165,1903-09-09,3,34,khong,tinh-toan,
1903-12,1903,Thu Phân,Autumnal Equinox,180,1903-09-24,12,37,khong,tinh-toan,
1903-13,1903,Hàn Lộ,Cold Dew,195,1903-10-09,18,32,khong,tinh-toan,
1903-14,1903,Sương Giáng,Frost Descent,210,1903-10-24,21,15,khong,tinh-toan,
1903-15,1903,Lập Đông,Start of Winter,225,1903-11-08,21,1,khong,tinh-toan,
1903-16,1903,Tiểu Tuyết,Minor Snow,240,1903-11-23,18,12,khong,tinh-toan,
1903-17,1903,Đại Tuyết,Major Snow,255,1903-12-08,13,21,khong,tinh-toan,
1903-18,1903,Đông Chí,Winter Solstice,270,1903-12-23,7,10,khong,tinh-toan,
1904-19,1904,Tiểu Hàn,Minor Cold,285,1904-01-07,0,23,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1904-20,1904,Đại Hàn,Major Cold,300,1904-01-21,17,48,khong,tinh-toan,
1904-21,1904,Lập Xuân,Start of Spring,315,1904-02-05,12,12,khong,tinh-toan,
1904-22,1904,Vũ Thủy,Rain Water,330,1904-02-20,8,17,khong,tinh-toan,
1904-23,1904,Kinh Trập,Awakening of Insects,345,1904-03-06,6,41,khong,tinh-toan,
1904-00,1904,Xuân Phân,Vernal Equinox,0,1904-03-21,7,53,khong,tinh-toan,
1904-01,1904,Thanh Minh,Clear and Bright,15,1904-04-05,12,9,khong,tinh-toan,
1904-02,1904,Cốc Vũ,Grain Rain,30,1904-04-20,19,38,khong,tinh-toan,
1904-03,1904,Lập Hạ,Start of Summer,45,1904-05-06,6,10,khong,tinh-toan,
1904-04,1904,Tiểu Mãn,Grain Buds,60,1904-05-21,19,25,khong,tinh-toan,
1904-05,1904,Mang Chủng,Grain in Ear,75,1904-06-06,10,52,khong,tinh-toan,
1904-06,1904,Hạ Chí,Summer Solstice,90,1904-06-22,3,46,khong,tinh-toan,
1904-07,1904,Tiểu Thử,Minor Heat,105,1904-07-07,21,20,khong,tinh-toan,
1904-08,1904,Đại Thử,Major Heat,120,1904-07-23,14,41,khong,tinh-toan,
1904-09,1904,Lập Thu,Start of Autumn,135,1904-08-08,6,58,khong,tinh-toan,
1904-10,1904,Xử Thử,End of Heat,150,1904-08-23,21,25,khong,tinh-toan,
1904-11,1904,Bạch Lộ,White Dew,165,1904-09-08,9,23,khong,tinh-toan,
1904-12,1904,Thu Phân,Autumnal Equinox,180,1904-09-23,18,26,khong,tinh-toan,
1904-13,1904,Hàn Lộ,Cold Dew,195,1904-10-09,0,20,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1904-14,1904,Sương Giáng,Frost Descent,210,1904-10-24,3,4,khong,tinh-toan,
1904-15,1904,Lập Đông,Start of Winter,225,1904-11-08,2,50,khong,tinh-toan,
1904-16,1904,Tiểu Tuyết,Minor Snow,240,1904-11-23,0,1,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1904-17,1904,Đại Tuyết,Major Snow,255,1904-12-07,19,11,khong,tinh-toan,
1904-18,1904,Đông Chí,Winter Solstice,270,1904-12-22,13,0,khong,tinh-toan,
1905-19,1905,Tiểu Hàn,Minor Cold,285,1905-01-06,6,13,khong,tinh-toan,
1905-20,1905,Đại Hàn,Major Cold,300,1905-01-20,23,37,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1905-21,1905,Lập Xuân,Start of Spring,315,1905-02-04,18,1,khong,tinh-toan,
1905-22,1905,Vũ Thủy,Rain Water,330,1905-02-19,14,6,khong,tinh-toan,
1905-23,1905,Kinh Trập,Awakening of Insects,345,1905-03-06,12,30,khong,tinh-toan,
1905-00,1905,Xuân Phân,Vernal Equinox,0,1905-03-21,13,42,khong,tinh-toan,
1905-01,1905,Thanh Minh,Clear and Bright,15,1905-04-05,17,58,khong,tinh-toan,
1905-02,1905,Cốc Vũ,Grain Rain,30,1905-04-21,1,27,khong,tinh-toan,
1905-03,1905,Lập Hạ,Start of Summer,45,1905-05-06,11,59,khong,tinh-toan,
1905-04,1905,Tiểu Mãn,Grain Buds,60,1905-05-22,1,14,khong,tinh-toan,
1905-05,1905,Mang Chủng,Grain in Ear,75,1905-06-06,16,40,khong,tinh-toan,
1905-06,1905,Hạ Chí,Summer Solstice,90,1905-06-22,9,35,khong,tinh-toan,
1905-07,1905,Tiểu Thử,Minor Heat,105,1905-07-08,3,9,khong,tinh-toan,
1905-08,1905,Đại Thử,Major Heat,120,1905-07-23,20,29,khong,tinh-toan,
1905-09,1905,Lập Thu,Start of Autumn,135,1905-08-08,12,46,khong,tinh-toan,
1905-10,1905,Xử Thử,End of Heat,150,1905-08-24,3,13,khong,tinh-toan,
1905-11,1905,Bạch Lộ,White Dew,165,1905-09-08,15,11,khong,tinh-toan,
1905-12,1905,Thu Phân,Autumnal Equinox,180,1905-09-24,0,15,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1905-13,1905,Hàn Lộ,Cold Dew,195,1905-10-09,6,9,khong,tinh-toan,
1905-14,1905,Sương Giáng,Frost Descent,210,1905-10-24,8,53,khong,tinh-toan,
1905-15,1905,Lập Đông,Start of Winter,225,1905-11-08,8,39,khong,tinh-toan,
1905-16,1905,Tiểu Tuyết,Minor Snow,240,1905-11-23,5,50,khong,tinh-toan,
1905-17,1905,Đại Tuyết,Major Snow,255,1905-12-08,1,0,khong,tinh-toan,
1905-18,1905,Đông Chí,Winter Solstice,270,1905-12-22,18,49,khong,tinh-toan,
1906-19,1906,Tiểu Hàn,Minor Cold,285,1906-01-06,12,2,khong,tinh-toan,
1906-20,1906,Đại Hàn,Major Cold,300,1906-01-21,5,28,khong,tinh-toan,
1906-21,1906,Lập Xuân,Start of Spring,315,1906-02-04,23,51,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1906-22,1906,Vũ Thủy,Rain Water,330,1906-02-19,19,56,khong,tinh-toan,
1906-23,1906,Kinh Trập,Awakening of Insects,345,1906-03-06,18,19,khong,tinh-toan,
1906-00,1906,Xuân Phân,Vernal Equinox,0,1906-03-21,19,30,khong,tinh-toan,
1906-01,1906,Thanh Minh,Clear and Bright,15,1906-04-05,23,47,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1906-02,1906,Cốc Vũ,Grain Rain,30,1906-04-21,7,15,khong,tinh-toan,
1906-03,1906,Lập Hạ,Start of Summer,45,1906-05-06,17,47,khong,tinh-toan,
1906-04,1906,Tiểu Mãn,Grain Buds,60,1906-05-22,7,2,khong,tinh-toan,
1906-05,1906,Mang Chủng,Grain in Ear,75,1906-06-06,22,28,khong,tinh-toan,
1906-06,1906,Hạ Chí,Summer Solstice,90,1906-06-22,15,23,khong,tinh-toan,
1906-07,1906,Tiểu Thử,Minor Heat,105,1906-07-08,8,57,khong,tinh-toan,
1906-08,1906,Đại Thử,Major Heat,120,1906-07-24,2,18,khong,tinh-toan,
1906-09,1906,Lập Thu,Start of Autumn,135,1906-08-08,18,34,khong,tinh-toan,
1906-10,1906,Xử Thử,End of Heat,150,1906-08-24,9,1,khong,tinh-toan,
1906-11,1906,Bạch Lộ,White Dew,165,1906-09-08,20,59,khong,tinh-toan,
1906-12,1906,Thu Phân,Autumnal Equinox,180,1906-09-24,6,3,khong,tinh-toan,
1906-13,1906,Hàn Lộ,Cold Dew,195,1906-10-09,11,58,khong,tinh-toan,
1906-14,1906,Sương Giáng,Frost Descent,210,1906-10-24,14,42,khong,tinh-toan,
1906-15,1906,Lập Đông,Start of Winter,225,1906-11-08,14,28,khong,tinh-toan,
1906-16,1906,Tiểu Tuyết,Minor Snow,240,1906-11-23,11,40,khong,tinh-toan,
1906-17,1906,Đại Tuyết,Major Snow,255,1906-12-08,6,50,khong,tinh-toan,
1906-18,1906,Đông Chí,Winter Solstice,270,1906-12-23,0,39,khong,tinh-toan,
1907-19,1907,Tiểu Hàn,Minor Cold,285,1907-01-06,17,52,khong,tinh-toan,
1907-20,1907,Đại Hàn,Major Cold,300,1907-01-21,11,17,khong,tinh-toan,
1907-21,1907,Lập Xuân,Start of Spring,315,1907-02-05,5,40,khong,tinh-toan,
1907-22,1907,Vũ Thủy,Rain Water,330,1907-02-20,1,45,khong,tinh-toan,
1907-23,1907,Kinh Trập,Awakening of Insects,345,1907-03-07,0,9,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1907-00,1907,Xuân Phân,Vernal Equinox,0,1907-03-22,1,20,khong,tinh-toan,
1907-01,1907,Thanh Minh,Clear and Bright,15,1907-04-06,5,36,khong,tinh-toan,
1907-02,1907,Cốc Vũ,Grain Rain,30,1907-04-21,13,4,khong,tinh-toan,
1907-03,1907,Lập Hạ,Start of Summer,45,1907-05-06,23,35,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1907-04,1907,Tiểu Mãn,Grain Buds,60,1907-05-22,12,50,khong,tinh-toan,
1907-05,1907,Mang Chủng,Grain in Ear,75,1907-06-07,4,15,khong,tinh-toan,
1907-06,1907,Hạ Chí,Summer Solstice,90,1907-06-22,21,11,khong,tinh-toan,
1907-07,1907,Tiểu Thử,Minor Heat,105,1907-07-08,14,44,khong,tinh-toan,
1907-08,1907,Đại Thử,Major Heat,120,1907-07-24,8,6,khong,tinh-toan,
1907-09,1907,Lập Thu,Start of Autumn,135,1907-08-09,0,23,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1907-10,1907,Xử Thử,End of Heat,150,1907-08-24,14,49,khong,tinh-toan,
1907-11,1907,Bạch Lộ,White Dew,165,1907-09-09,2,48,khong,tinh-toan,
1907-12,1907,Thu Phân,Autumnal Equinox,180,1907-09-24,11,52,khong,tinh-toan,
1907-13,1907,Hàn Lộ,Cold Dew,195,1907-10-09,17,46,khong,tinh-toan,
1907-14,1907,Sương Giáng,Frost Descent,210,1907-10-24,20,31,khong,tinh-toan,
1907-15,1907,Lập Đông,Start of Winter,225,1907-11-08,20,17,khong,tinh-toan,
1907-16,1907,Tiểu Tuyết,Minor Snow,240,1907-11-23,17,29,khong,tinh-toan,
1907-17,1907,Đại Tuyết,Major Snow,255,1907-12-08,12,39,khong,tinh-toan,
1907-18,1907,Đông Chí,Winter Solstice,270,1907-12-23,6,28,khong,tinh-toan,
1908-19,1908,Tiểu Hàn,Minor Cold,285,1908-01-06,23,42,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1908-20,1908,Đại Hàn,Major Cold,300,1908-01-21,17,6,khong,tinh-toan,
1908-21,1908,Lập Xuân,Start of Spring,315,1908-02-05,11,30,khong,tinh-toan,
1908-22,1908,Vũ Thủy,Rain Water,330,1908-02-20,7,34,khong,tinh-toan,
1908-23,1908,Kinh Trập,Awakening of Insects,345,1908-03-06,5,57,khong,tinh-toan,
1908-00,1908,Xuân Phân,Vernal Equinox,0,1908-03-21,7,9,khong,tinh-toan,
1908-01,1908,Thanh Minh,Clear and Bright,15,1908-04-05,11,24,khong,tinh-toan,
1908-02,1908,Cốc Vũ,Grain Rain,30,1908-04-20,18,52,khong,tinh-toan,
1908-03,1908,Lập Hạ,Start of Summer,45,1908-05-06,5,23,khong,tinh-toan,
1908-04,1908,Tiểu Mãn,Grain Buds,60,1908-05-21,18,39,khong,tinh-toan,
1908-05,1908,Mang Chủng,Grain in Ear,75,1908-06-06,10,4,khong,tinh-toan,
1908-06,1908,Hạ Chí,Summer Solstice,90,1908-06-22,2,58,khong,tinh-toan,
1908-07,1908,Tiểu Thử,Minor Heat,105,1908-07-07,20,32,khong,tinh-toan,
1908-08,1908,Đại Thử,Major Heat,120,1908-07-23,13,53,khong,tinh-toan,
1908-09,1908,Lập Thu,Start of Autumn,135,1908-08-08,6,11,khong,tinh-toan,
1908-10,1908,Xử Thử,End of Heat,150,1908-08-23,20,37,khong,tinh-toan,
1908-11,1908,Bạch Lộ,White Dew,165,1908-09-08,8,37,khong,tinh-toan,
1908-12,1908,Thu Phân,Autumnal Equinox,180,1908-09-23,17,40,khong,tinh-toan,
1908-13,1908,Hàn Lộ,Cold Dew,195,1908-10-08,23,35,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1908-14,1908,Sương Giáng,Frost Descent,210,1908-10-24,2,19,khong,tinh-toan,
1908-15,1908,Lập Đông,Start of Winter,225,1908-11-08,2,6,khong,tinh-toan,
1908-16,1908,Tiểu Tuyết,Minor Snow,240,1908-11-22,23,19,khong,tinh-toan,
1908-17,1908,Đại Tuyết,Major Snow,255,1908-12-07,18,29,khong,tinh-toan,
1908-18,1908,Đông Chí,Winter Solstice,270,1908-12-22,12,18,khong,tinh-toan,
1909-19,1909,Tiểu Hàn,Minor Cold,285,1909-01-06,5,31,khong,tinh-toan,
1909-20,1909,Đại Hàn,Major Cold,300,1909-01-20,22,56,khong,tinh-toan,
1909-21,1909,Lập Xuân,Start of Spring,315,1909-02-04,17,19,khong,tinh-toan,
1909-22,1909,Vũ Thủy,Rain Water,330,1909-02-19,13,24,khong,tinh-toan,
1909-23,1909,Kinh Trập,Awakening of Insects,345,1909-03-06,11,47,khong,tinh-toan,
1909-00,1909,Xuân Phân,Vernal Equinox,0,1909-03-21,12,58,khong,tinh-toan,
1909-01,1909,Thanh Minh,Clear and Bright,15,1909-04-05,17,13,khong,tinh-toan,
1909-02,1909,Cốc Vũ,Grain Rain,30,1909-04-21,0,41,khong,tinh-toan,
1909-03,1909,Lập Hạ,Start of Summer,45,1909-05-06,11,12,khong,tinh-toan,
1909-04,1909,Tiểu Mãn,Grain Buds,60,1909-05-22,0,26,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1909-05,1909,Mang Chủng,Grain in Ear,75,1909-06-06,15,52,khong,tinh-toan,
1909-06,1909,Hạ Chí,Summer Solstice,90,1909-06-22,8,46,khong,tinh-toan,
1909-07,1909,Tiểu Thử,Minor Heat,105,1909-07-08,2,20,khong,tinh-toan,
1909-08,1909,Đại Thử,Major Heat,120,1909-07-23,19,41,khong,tinh-toan,
1909-09,1909,Lập Thu,Start of Autumn,135,1909-08-08,11,59,khong,tinh-toan,
1909-10,1909,Xử Thử,End of Heat,150,1909-08-24,2,26,khong,tinh-toan,
1909-11,1909,Bạch Lộ,White Dew,165,1909-09-08,14,25,khong,tinh-toan,
1909-12,1909,Thu Phân,Autumnal Equinox,180,1909-09-23,23,29,khong,tinh-toan,
1909-13,1909,Hàn Lộ,Cold Dew,195,1909-10-09,5,24,khong,tinh-toan,
1909-14,1909,Sương Giáng,Frost Descent,210,1909-10-24,8,8,khong,tinh-toan,
1909-15,1909,Lập Đông,Start of Winter,225,1909-11-08,7,56,khong,tinh-toan,
1909-16,1909,Tiểu Tuyết,Minor Snow,240,1909-11-23,5,8,khong,tinh-toan,
1909-17,1909,Đại Tuyết,Major Snow,255,1909-12-08,0,18,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1909-18,1909,Đông Chí,Winter Solstice,270,1909-12-22,18,8,khong,tinh-toan,
1910-19,1910,Tiểu Hàn,Minor Cold,285,1910-01-06,11,21,khong,tinh-toan,
1910-20,1910,Đại Hàn,Major Cold,300,1910-01-21,4,45,khong,tinh-toan,
1910-21,1910,Lập Xuân,Start of Spring,315,1910-02-04,23,8,khong,tinh-toan,
1910-22,1910,Vũ Thủy,Rain Water,330,1910-02-19,19,13,khong,tinh-toan,
1910-23,1910,Kinh Trập,Awakening of Insects,345,1910-03-06,17,36,khong,tinh-toan,
1910-00,1910,Xuân Phân,Vernal Equinox,0,1910-03-21,18,46,khong,tinh-toan,
1910-01,1910,Thanh Minh,Clear and Bright,15,1910-04-05,23,2,khong,tinh-toan,
1910-02,1910,Cốc Vũ,Grain Rain,30,1910-04-21,6,29,khong,tinh-toan,
1910-03,1910,Lập Hạ,Start of Summer,45,1910-05-06,17,0,khong,tinh-toan,
1910-04,1910,Tiểu Mãn,Grain Buds,60,1910-05-22,6,14,khong,tinh-toan,
1910-05,1910,Mang Chủng,Grain in Ear,75,1910-06-06,21,40,khong,tinh-toan,
1910-06,1910,Hạ Chí,Summer Solstice,90,1910-06-22,14,34,khong,tinh-toan,
1910-07,1910,Tiểu Thử,Minor Heat,105,1910-07-08,8,8,khong,tinh-toan,
1910-08,1910,Đại Thử,Major Heat,120,1910-07-24,1,29,khong,tinh-toan,
1910-09,1910,Lập Thu,Start of Autumn,135,1910-08-08,17,47,khong,tinh-toan,
1910-10,1910,Xử Thử,End of Heat,150,1910-08-24,8,14,khong,tinh-toan,
1910-11,1910,Bạch Lộ,White Dew,165,1910-09-08,20,13,khong,tinh-toan,
1910-12,1910,Thu Phân,Autumnal Equinox,180,1910-09-24,5,17,khong,tinh-toan,
1910-13,1910,Hàn Lộ,Cold Dew,195,1910-10-09,11,12,khong,tinh-toan,
1910-14,1910,Sương Giáng,Frost Descent,210,1910-10-24,13,58,khong,tinh-toan,
1910-15,1910,Lập Đông,Start of Winter,225,1910-11-08,13,45,khong,tinh-toan,
1910-16,1910,Tiểu Tuyết,Minor Snow,240,1910-11-23,10,57,khong,tinh-toan,
1910-17,1910,Đại Tuyết,Major Snow,255,1910-12-08,6,8,khong,tinh-toan,
1910-18,1910,Đông Chí,Winter Solstice,270,1910-12-22,23,57,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1911-19,1911,Tiểu Hàn,Minor Cold,285,1911-01-06,17,11,khong,tinh-toan,
1911-20,1911,Đại Hàn,Major Cold,300,1911-01-21,10,35,khong,tinh-toan,
1911-21,1911,Lập Xuân,Start of Spring,315,1911-02-05,4,58,khong,tinh-toan,
1911-22,1911,Vũ Thủy,Rain Water,330,1911-02-20,1,2,khong,tinh-toan,
1911-23,1911,Kinh Trập,Awakening of Insects,345,1911-03-06,23,25,khong,tinh-toan,
1911-00,1911,Xuân Phân,Vernal Equinox,0,1911-03-22,0,36,khong,tinh-toan,
1911-01,1911,Thanh Minh,Clear and Bright,15,1911-04-06,4,52,khong,tinh-toan,
1911-02,1911,Cốc Vũ,Grain Rain,30,1911-04-21,12,18,khong,tinh-toan,
1911-03,1911,Lập Hạ,Start of Summer,45,1911-05-06,22,48,khong,tinh-toan,
1911-04,1911,Tiểu Mãn,Grain Buds,60,1911-05-22,12,3,khong,tinh-toan,
1911-05,1911,Mang Chủng,Grain in Ear,75,1911-06-07,3,28,khong,tinh-toan,
1911-06,1911,Hạ Chí,Summer Solstice,90,1911-06-22,20,22,khong,tinh-toan,
1911-07,1911,Tiểu Thử,Minor Heat,105,1911-07-08,13,56,khong,tinh-toan,
