id,le_hoi,le_hoi_en,nam,ngay_duong,thu,loai_ngay,ngay_am,ngay_nghi,nguon,ghi_chu
hoi-xuan-chua-keo-2026,Hội Xuân chùa Keo,Chùa Keo Spring Festival,2026,2026-02-20,thứ Sáu,lunar,4/1,khong,bien-tap va tinh-toan,
hoi-xuan-chua-keo-2027,Hội Xuân chùa Keo,Chùa Keo Spring Festival,2027,2027-02-09,thứ Ba,lunar,4/1,khong,bien-tap va tinh-toan,
hoi-xuan-chua-keo-2028,Hội Xuân chùa Keo,Chùa Keo Spring Festival,2028,2028-01-29,thứ Bảy,lunar,4/1,khong,bien-tap va tinh-toan,
hoi-xuan-chua-keo-2029,Hội Xuân chùa Keo,Chùa Keo Spring Festival,2029,2029-02-16,thứ Sáu,lunar,4/1,khong,bien-tap va tinh-toan,
hoi-xuan-chua-keo-2030,Hội Xuân chùa Keo,Chùa Keo Spring Festival,2030,2030-02-05,thứ Ba,lunar,4/1,khong,bien-tap va tinh-toan,
khai-hoi-chua-bai-dinh-2026,Khai hội chùa Bái Đính,Bái Đính Pagoda Festival Opening,2026,2026-02-22,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
khai-hoi-chua-bai-dinh-2027,Khai hội chùa Bái Đính,Bái Đính Pagoda Festival Opening,2027,2027-02-11,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
khai-hoi-chua-bai-dinh-2028,Khai hội chùa Bái Đính,Bái Đính Pagoda Festival Opening,2028,2028-01-31,thứ Hai,lunar,6/1,khong,bien-tap va tinh-toan,
khai-hoi-chua-bai-dinh-2029,Khai hội chùa Bái Đính,Bái Đính Pagoda Festival Opening,2029,2029-02-18,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
khai-hoi-chua-bai-dinh-2030,Khai hội chùa Bái Đính,Bái Đính Pagoda Festival Opening,2030,2030-02-07,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
le-cac-thanh-tu-dao-viet-nam-2026,Lễ Các Thánh Tử đạo Việt Nam,Feast of the Vietnamese Martyrs,2026,2026-11-24,thứ Ba,solar,,khong,bien-tap va tinh-toan,
le-cac-thanh-tu-dao-viet-nam-2027,Lễ Các Thánh Tử đạo Việt Nam,Feast of the Vietnamese Martyrs,2027,2027-11-24,thứ Tư,solar,,khong,bien-tap va tinh-toan,
le-cac-thanh-tu-dao-viet-nam-2028,Lễ Các Thánh Tử đạo Việt Nam,Feast of the Vietnamese Martyrs,2028,2028-11-24,thứ Sáu,solar,,khong,bien-tap va tinh-toan,
le-cac-thanh-tu-dao-viet-nam-2029,Lễ Các Thánh Tử đạo Việt Nam,Feast of the Vietnamese Martyrs,2029,2029-11-24,thứ Bảy,solar,,khong,bien-tap va tinh-toan,
le-cac-thanh-tu-dao-viet-nam-2030,Lễ Các Thánh Tử đạo Việt Nam,Feast of the Vietnamese Martyrs,2030,2030-11-24,Chủ Nhật,solar,,khong,bien-tap va tinh-toan,
le-giang-sinh-2026,Lễ Giáng sinh,Christmas,2026,2026-12-25,thứ Sáu,solar,,khong,bien-tap va tinh-toan,
le-giang-sinh-2027,Lễ Giáng sinh,Christmas,2027,2027-12-25,thứ Bảy,solar,,khong,bien-tap va tinh-toan,
le-giang-sinh-2028,Lễ Giáng sinh,Christmas,2028,2028-12-25,thứ Hai,solar,,khong,bien-tap va tinh-toan,
le-giang-sinh-2029,Lễ Giáng sinh,Christmas,2029,2029-12-25,thứ Ba,solar,,khong,bien-tap va tinh-toan,
le-giang-sinh-2030,Lễ Giáng sinh,Christmas,2030,2030-12-25,thứ Tư,solar,,khong,bien-tap va tinh-toan,
le-gio-ba-phi-yen-2026,Lễ giỗ bà Phi Yến,Commemoration of Lady Phi Yến,2026,2026-11-26,thứ Năm,lunar,18/10,khong,bien-tap va tinh-toan,
le-gio-ba-phi-yen-2027,Lễ giỗ bà Phi Yến,Commemoration of Lady Phi Yến,2027,2027-11-15,thứ Hai,lunar,18/10,khong,bien-tap va tinh-toan,
le-gio-ba-phi-yen-2028,Lễ giỗ bà Phi Yến,Commemoration of Lady Phi Yến,2028,2028-12-03,Chủ Nhật,lunar,18/10,khong,bien-tap va tinh-toan,
le-gio-ba-phi-yen-2029,Lễ giỗ bà Phi Yến,Commemoration of Lady Phi Yến,2029,2029-11-23,thứ Sáu,lunar,18/10,khong,bien-tap va tinh-toan,
le-gio-ba-phi-yen-2030,Lễ giỗ bà Phi Yến,Commemoration of Lady Phi Yến,2030,2030-11-13,thứ Tư,lunar,18/10,khong,bien-tap va tinh-toan,
le-gio-dai-thi-hao-nguyen-du-2026,Lễ giỗ Đại thi hào Nguyễn Du,Death Anniversary of Great Poet Nguyen Du,2026,2026-09-20,Chủ Nhật,lunar,10/8,khong,bien-tap va tinh-toan,
le-gio-dai-thi-hao-nguyen-du-2027,Lễ giỗ Đại thi hào Nguyễn Du,Death Anniversary of Great Poet Nguyen Du,2027,2027-09-10,thứ Sáu,lunar,10/8,khong,bien-tap va tinh-toan,
le-gio-dai-thi-hao-nguyen-du-2028,Lễ giỗ Đại thi hào Nguyễn Du,Death Anniversary of Great Poet Nguyen Du,2028,2028-09-28,thứ Năm,lunar,10/8,khong,bien-tap va tinh-toan,
le-gio-dai-thi-hao-nguyen-du-2029,Lễ giỗ Đại thi hào Nguyễn Du,Death Anniversary of Great Poet Nguyen Du,2029,2029-09-17,thứ Hai,lunar,10/8,khong,bien-tap va tinh-toan,
le-gio-dai-thi-hao-nguyen-du-2030,Lễ giỗ Đại thi hào Nguyễn Du,Death Anniversary of Great Poet Nguyen Du,2030,2030-09-07,thứ Bảy,lunar,10/8,khong,bien-tap va tinh-toan,
le-gio-hoang-de-quang-trung-2026,Lễ giỗ Hoàng đế Quang Trung,Death Anniversary of Emperor Quang Trung,2026,2026-09-10,thứ Năm,lunar,29/7,khong,bien-tap va tinh-toan,
le-gio-hoang-de-quang-trung-2027,Lễ giỗ Hoàng đế Quang Trung,Death Anniversary of Emperor Quang Trung,2027,2027-08-30,thứ Hai,lunar,29/7,khong,bien-tap va tinh-toan,
le-gio-hoang-de-quang-trung-2028,Lễ giỗ Hoàng đế Quang Trung,Death Anniversary of Emperor Quang Trung,2028,2028-09-17,Chủ Nhật,lunar,29/7,khong,bien-tap va tinh-toan,
le-gio-hoang-de-quang-trung-2029,Lễ giỗ Hoàng đế Quang Trung,Death Anniversary of Emperor Quang Trung,2029,2029-09-07,thứ Sáu,lunar,29/7,khong,bien-tap va tinh-toan,
le-gio-hoang-de-quang-trung-2030,Lễ giỗ Hoàng đế Quang Trung,Death Anniversary of Emperor Quang Trung,2030,2030-08-27,thứ Ba,lunar,29/7,khong,bien-tap va tinh-toan,
le-gio-ta-quan-le-van-duyet-2026,Lễ giỗ Tả quân Lê Văn Duyệt,Death Anniversary of Tả quân Lê Văn Duyệt,2026,2026-09-11,thứ Sáu,lunar,1/8,khong,bien-tap va tinh-toan,
le-gio-ta-quan-le-van-duyet-2027,Lễ giỗ Tả quân Lê Văn Duyệt,Death Anniversary of Tả quân Lê Văn Duyệt,2027,2027-09-01,thứ Tư,lunar,1/8,khong,bien-tap va tinh-toan,
le-gio-ta-quan-le-van-duyet-2028,Lễ giỗ Tả quân Lê Văn Duyệt,Death Anniversary of Tả quân Lê Văn Duyệt,2028,2028-09-19,thứ Ba,lunar,1/8,khong,bien-tap va tinh-toan,
le-gio-ta-quan-le-van-duyet-2029,Lễ giỗ Tả quân Lê Văn Duyệt,Death Anniversary of Tả quân Lê Văn Duyệt,2029,2029-09-08,thứ Bảy,lunar,1/8,khong,bien-tap va tinh-toan,
le-gio-ta-quan-le-van-duyet-2030,Lễ giỗ Tả quân Lê Văn Duyệt,Death Anniversary of Tả quân Lê Văn Duyệt,2030,2030-08-29,thứ Năm,lunar,1/8,khong,bien-tap va tinh-toan,
le-gio-uy-vien-tuong-cong-nguyen-cong-tru-2026,Lễ giỗ Uy Viễn tướng công Nguyễn Công Trứ,Death Anniversary of Nguyen Cong Tru,2026,2026-12-22,thứ Ba,lunar,14/11,khong,bien-tap va tinh-toan,
le-gio-uy-vien-tuong-cong-nguyen-cong-tru-2027,Lễ giỗ Uy Viễn tướng công Nguyễn Công Trứ,Death Anniversary of Nguyen Cong Tru,2027,2027-12-11,thứ Bảy,lunar,14/11,khong,bien-tap va tinh-toan,
le-gio-uy-vien-tuong-cong-nguyen-cong-tru-2028,Lễ giỗ Uy Viễn tướng công Nguyễn Công Trứ,Death Anniversary of Nguyen Cong Tru,2028,2028-12-29,thứ Sáu,lunar,14/11,khong,bien-tap va tinh-toan,
le-gio-uy-vien-tuong-cong-nguyen-cong-tru-2029,Lễ giỗ Uy Viễn tướng công Nguyễn Công Trứ,Death Anniversary of Nguyen Cong Tru,2029,2029-12-18,thứ Ba,lunar,14/11,khong,bien-tap va tinh-toan,
le-gio-uy-vien-tuong-cong-nguyen-cong-tru-2030,Lễ giỗ Uy Viễn tướng công Nguyễn Công Trứ,Death Anniversary of Nguyen Cong Tru,2030,2030-12-08,Chủ Nhật,lunar,14/11,khong,bien-tap va tinh-toan,
le-ha-nguon-va-ky-niem-ngay-khai-dao-cao-dai-2026,Lễ Hạ Ngươn và kỷ niệm ngày Khai Đạo Cao Đài,Cao Đài Hạ Ngươn Festival and Founding Day,2026,2026-11-23,thứ Hai,lunar,15/10,khong,bien-tap va tinh-toan,
le-ha-nguon-va-ky-niem-ngay-khai-dao-cao-dai-2027,Lễ Hạ Ngươn và kỷ niệm ngày Khai Đạo Cao Đài,Cao Đài Hạ Ngươn Festival and Founding Day,2027,2027-11-12,thứ Sáu,lunar,15/10,khong,bien-tap va tinh-toan,
le-ha-nguon-va-ky-niem-ngay-khai-dao-cao-dai-2028,Lễ Hạ Ngươn và kỷ niệm ngày Khai Đạo Cao Đài,Cao Đài Hạ Ngươn Festival and Founding Day,2028,2028-11-30,thứ Năm,lunar,15/10,khong,bien-tap va tinh-toan,
le-ha-nguon-va-ky-niem-ngay-khai-dao-cao-dai-2029,Lễ Hạ Ngươn và kỷ niệm ngày Khai Đạo Cao Đài,Cao Đài Hạ Ngươn Festival and Founding Day,2029,2029-11-20,thứ Ba,lunar,15/10,khong,bien-tap va tinh-toan,
le-ha-nguon-va-ky-niem-ngay-khai-dao-cao-dai-2030,Lễ Hạ Ngươn và kỷ niệm ngày Khai Đạo Cao Đài,Cao Đài Hạ Ngươn Festival and Founding Day,2030,2030-11-10,Chủ Nhật,lunar,15/10,khong,bien-tap va tinh-toan,
le-hoi-ba-chua-kho-2026,Lễ hội Đền Bà Chúa Kho,Bà Chúa Kho Temple Festival,2026,2026-03-02,thứ Hai,lunar,14/1,khong,bien-tap va tinh-toan,
le-hoi-ba-chua-kho-2027,Lễ hội Đền Bà Chúa Kho,Bà Chúa Kho Temple Festival,2027,2027-02-19,thứ Sáu,lunar,14/1,khong,bien-tap va tinh-toan,
le-hoi-ba-chua-kho-2028,Lễ hội Đền Bà Chúa Kho,Bà Chúa Kho Temple Festival,2028,2028-02-08,thứ Ba,lunar,14/1,khong,bien-tap va tinh-toan,
le-hoi-ba-chua-kho-2029,Lễ hội Đền Bà Chúa Kho,Bà Chúa Kho Temple Festival,2029,2029-02-26,thứ Hai,lunar,14/1,khong,bien-tap va tinh-toan,
le-hoi-ba-chua-kho-2030,Lễ hội Đền Bà Chúa Kho,Bà Chúa Kho Temple Festival,2030,2030-02-15,thứ Sáu,lunar,14/1,khong,bien-tap va tinh-toan,
le-hoi-ba-thu-bon-2026,Lễ hội Bà Thu Bồn,Bà Thu Bồn Festival,2026,2026-03-30,thứ Hai,lunar,12/2,khong,bien-tap va tinh-toan,
le-hoi-ba-thu-bon-2027,Lễ hội Bà Thu Bồn,Bà Thu Bồn Festival,2027,2027-03-19,thứ Sáu,lunar,12/2,khong,bien-tap va tinh-toan,
le-hoi-ba-thu-bon-2028,Lễ hội Bà Thu Bồn,Bà Thu Bồn Festival,2028,2028-03-07,thứ Ba,lunar,12/2,khong,bien-tap va tinh-toan,
le-hoi-ba-thu-bon-2029,Lễ hội Bà Thu Bồn,Bà Thu Bồn Festival,2029,2029-03-26,thứ Hai,lunar,12/2,khong,bien-tap va tinh-toan,
le-hoi-ba-thu-bon-2030,Lễ hội Bà Thu Bồn,Bà Thu Bồn Festival,2030,2030-03-15,thứ Sáu,lunar,12/2,khong,bien-tap va tinh-toan,
le-hoi-bach-dang-2026,Lễ hội Bạch Đằng,Bạch Đằng Festival,2026,2026-04-24,thứ Sáu,lunar,8/3,khong,bien-tap va tinh-toan,
le-hoi-bach-dang-2027,Lễ hội Bạch Đằng,Bạch Đằng Festival,2027,2027-04-14,thứ Tư,lunar,8/3,khong,bien-tap va tinh-toan,
le-hoi-bach-dang-2028,Lễ hội Bạch Đằng,Bạch Đằng Festival,2028,2028-04-02,Chủ Nhật,lunar,8/3,khong,bien-tap va tinh-toan,
le-hoi-bach-dang-2029,Lễ hội Bạch Đằng,Bạch Đằng Festival,2029,2029-04-21,thứ Bảy,lunar,8/3,khong,bien-tap va tinh-toan,
le-hoi-bach-dang-2030,Lễ hội Bạch Đằng,Bạch Đằng Festival,2030,2030-04-10,thứ Tư,lunar,8/3,khong,bien-tap va tinh-toan,
le-hoi-cau-ngu-man-mua-o-van-thuy-tu-2026,Lễ hội Cầu ngư mãn mùa ở Vạn Thủy Tú,End-of-Season Whale Worship Festival at Van Thuy Tu,2026,2026-10-03,thứ Bảy,lunar,23/8,khong,bien-tap va tinh-toan,
le-hoi-cau-ngu-man-mua-o-van-thuy-tu-2027,Lễ hội Cầu ngư mãn mùa ở Vạn Thủy Tú,End-of-Season Whale Worship Festival at Van Thuy Tu,2027,2027-09-23,thứ Năm,lunar,23/8,khong,bien-tap va tinh-toan,
le-hoi-cau-ngu-man-mua-o-van-thuy-tu-2028,Lễ hội Cầu ngư mãn mùa ở Vạn Thủy Tú,End-of-Season Whale Worship Festival at Van Thuy Tu,2028,2028-10-11,thứ Tư,lunar,23/8,khong,bien-tap va tinh-toan,
le-hoi-cau-ngu-man-mua-o-van-thuy-tu-2029,Lễ hội Cầu ngư mãn mùa ở Vạn Thủy Tú,End-of-Season Whale Worship Festival at Van Thuy Tu,2029,2029-09-30,Chủ Nhật,lunar,23/8,khong,bien-tap va tinh-toan,
le-hoi-cau-ngu-man-mua-o-van-thuy-tu-2030,Lễ hội Cầu ngư mãn mùa ở Vạn Thủy Tú,End-of-Season Whale Worship Festival at Van Thuy Tu,2030,2030-09-20,thứ Sáu,lunar,23/8,khong,bien-tap va tinh-toan,
le-hoi-choi-trau-do-son-2026,Lễ hội Chọi trâu Đồ Sơn,Đồ Sơn Buffalo Fighting Festival,2026,2026-09-19,thứ Bảy,lunar,9/8,khong,bien-tap va tinh-toan,
le-hoi-choi-trau-do-son-2027,Lễ hội Chọi trâu Đồ Sơn,Đồ Sơn Buffalo Fighting Festival,2027,2027-09-09,thứ Năm,lunar,9/8,khong,bien-tap va tinh-toan,
le-hoi-choi-trau-do-son-2028,Lễ hội Chọi trâu Đồ Sơn,Đồ Sơn Buffalo Fighting Festival,2028,2028-09-27,thứ Tư,lunar,9/8,khong,bien-tap va tinh-toan,
le-hoi-choi-trau-do-son-2029,Lễ hội Chọi trâu Đồ Sơn,Đồ Sơn Buffalo Fighting Festival,2029,2029-09-16,Chủ Nhật,lunar,9/8,khong,bien-tap va tinh-toan,
le-hoi-choi-trau-do-son-2030,Lễ hội Chọi trâu Đồ Sơn,Đồ Sơn Buffalo Fighting Festival,2030,2030-09-06,thứ Sáu,lunar,9/8,khong,bien-tap va tinh-toan,
le-hoi-chu-dong-tu-tien-dung-2026,"Lễ hội Chử Đồng Tử, Tiên Dung",Chử Đồng Tử and Tiên Dung Festival,2026,2026-03-28,thứ Bảy,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-chu-dong-tu-tien-dung-2027,"Lễ hội Chử Đồng Tử, Tiên Dung",Chử Đồng Tử and Tiên Dung Festival,2027,2027-03-17,thứ Tư,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-chu-dong-tu-tien-dung-2028,"Lễ hội Chử Đồng Tử, Tiên Dung",Chử Đồng Tử and Tiên Dung Festival,2028,2028-03-05,Chủ Nhật,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-chu-dong-tu-tien-dung-2029,"Lễ hội Chử Đồng Tử, Tiên Dung",Chử Đồng Tử and Tiên Dung Festival,2029,2029-03-24,thứ Bảy,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-chu-dong-tu-tien-dung-2030,"Lễ hội Chử Đồng Tử, Tiên Dung",Chử Đồng Tử and Tiên Dung Festival,2030,2030-03-13,thứ Tư,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-chua-ba-thien-hau-thu-dau-mot-2026,Lễ hội chùa Bà Thiên Hậu Thủ Dầu Một,"Thiên Hậu Temple Festival, Thủ Dầu Một",2026,2026-03-03,thứ Ba,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-chua-ba-thien-hau-thu-dau-mot-2027,Lễ hội chùa Bà Thiên Hậu Thủ Dầu Một,"Thiên Hậu Temple Festival, Thủ Dầu Một",2027,2027-02-20,thứ Bảy,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-chua-ba-thien-hau-thu-dau-mot-2028,Lễ hội chùa Bà Thiên Hậu Thủ Dầu Một,"Thiên Hậu Temple Festival, Thủ Dầu Một",2028,2028-02-09,thứ Tư,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-chua-ba-thien-hau-thu-dau-mot-2029,Lễ hội chùa Bà Thiên Hậu Thủ Dầu Một,"Thiên Hậu Temple Festival, Thủ Dầu Một",2029,2029-02-27,thứ Ba,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-chua-ba-thien-hau-thu-dau-mot-2030,Lễ hội chùa Bà Thiên Hậu Thủ Dầu Một,"Thiên Hậu Temple Festival, Thủ Dầu Một",2030,2030-02-16,thứ Bảy,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-chua-co-le-2026,Lễ hội chùa Cổ Lễ,Cổ Lễ Pagoda Festival,2026,2026-10-23,thứ Sáu,lunar,14/9,khong,bien-tap va tinh-toan,
le-hoi-chua-co-le-2027,Lễ hội chùa Cổ Lễ,Cổ Lễ Pagoda Festival,2027,2027-10-13,thứ Tư,lunar,14/9,khong,bien-tap va tinh-toan,
le-hoi-chua-co-le-2028,Lễ hội chùa Cổ Lễ,Cổ Lễ Pagoda Festival,2028,2028-10-31,thứ Ba,lunar,14/9,khong,bien-tap va tinh-toan,
le-hoi-chua-co-le-2029,Lễ hội chùa Cổ Lễ,Cổ Lễ Pagoda Festival,2029,2029-10-21,Chủ Nhật,lunar,14/9,khong,bien-tap va tinh-toan,
le-hoi-chua-co-le-2030,Lễ hội chùa Cổ Lễ,Cổ Lễ Pagoda Festival,2030,2030-10-10,thứ Năm,lunar,14/9,khong,bien-tap va tinh-toan,
le-hoi-chua-dau-2026,Lễ hội chùa Dâu,Chùa Dâu Festival,2026,2026-05-24,Chủ Nhật,lunar,8/4,khong,bien-tap va tinh-toan,
le-hoi-chua-dau-2027,Lễ hội chùa Dâu,Chùa Dâu Festival,2027,2027-05-13,thứ Năm,lunar,8/4,khong,bien-tap va tinh-toan,
le-hoi-chua-dau-2028,Lễ hội chùa Dâu,Chùa Dâu Festival,2028,2028-05-02,thứ Ba,lunar,8/4,khong,bien-tap va tinh-toan,
le-hoi-chua-dau-2029,Lễ hội chùa Dâu,Chùa Dâu Festival,2029,2029-05-20,Chủ Nhật,lunar,8/4,khong,bien-tap va tinh-toan,
