id,nam,cung,cung_en,hoang_kinh,ngay_vao_cung,gio,phut,sat_nua_dem,nguon,ghi_chu
1955-240,1955,Nhân Mã,Sagittarius,240,1955-11-23,8,58,khong,tinh-toan,
1955-270,1955,Ma Kết,Capricorn,270,1955-12-22,22,7,khong,tinh-toan,
1956-300,1956,Bảo Bình,Aquarius,300,1956-01-21,8,46,khong,tinh-toan,
1956-330,1956,Song Ngư,Pisces,330,1956-02-19,23,4,khong,tinh-toan,
1956-000,1956,Bạch Dương,Aries,0,1956-03-20,22,21,khong,tinh-toan,
1956-030,1956,Kim Ngưu,Taurus,30,1956-04-20,9,43,khong,tinh-toan,
1956-060,1956,Song Tử,Gemini,60,1956-05-21,9,11,khong,tinh-toan,
1956-090,1956,Cự Giải,Cancer,90,1956-06-21,17,19,khong,tinh-toan,
1956-120,1956,Sư Tử,Leo,120,1956-07-23,4,14,khong,tinh-toan,
1956-150,1956,Xử Nữ,Virgo,150,1956-08-23,11,9,khong,tinh-toan,
1956-180,1956,Thiên Bình,Libra,180,1956-09-23,8,30,khong,tinh-toan,
1956-210,1956,Bọ Cạp,Scorpio,210,1956-10-23,17,30,khong,tinh-toan,
1956-240,1956,Nhân Mã,Sagittarius,240,1956-11-22,14,47,khong,tinh-toan,
1956-270,1956,Ma Kết,Capricorn,270,1956-12-22,3,57,khong,tinh-toan,
1957-300,1957,Bảo Bình,Aquarius,300,1957-01-20,14,35,khong,tinh-toan,
1957-330,1957,Song Ngư,Pisces,330,1957-02-19,4,53,khong,tinh-toan,
1957-000,1957,Bạch Dương,Aries,0,1957-03-21,4,10,khong,tinh-toan,
1957-030,1957,Kim Ngưu,Taurus,30,1957-04-20,15,32,khong,tinh-toan,
1957-060,1957,Song Tử,Gemini,60,1957-05-21,14,59,khong,tinh-toan,
1957-090,1957,Cự Giải,Cancer,90,1957-06-21,23,8,khong,tinh-toan,
1957-120,1957,Sư Tử,Leo,120,1957-07-23,10,2,khong,tinh-toan,
1957-150,1957,Xử Nữ,Virgo,150,1957-08-23,16,57,khong,tinh-toan,
1957-180,1957,Thiên Bình,Libra,180,1957-09-23,14,18,khong,tinh-toan,
1957-210,1957,Bọ Cạp,Scorpio,210,1957-10-23,23,19,khong,tinh-toan,
1957-240,1957,Nhân Mã,Sagittarius,240,1957-11-22,20,36,khong,tinh-toan,
1957-270,1957,Ma Kết,Capricorn,270,1957-12-22,9,47,khong,tinh-toan,
1958-300,1958,Bảo Bình,Aquarius,300,1958-01-20,20,25,khong,tinh-toan,
1958-330,1958,Song Ngư,Pisces,330,1958-02-19,10,43,khong,tinh-toan,
1958-000,1958,Bạch Dương,Aries,0,1958-03-21,9,59,khong,tinh-toan,
1958-030,1958,Kim Ngưu,Taurus,30,1958-04-20,21,21,khong,tinh-toan,
1958-060,1958,Song Tử,Gemini,60,1958-05-21,20,47,khong,tinh-toan,
1958-090,1958,Cự Giải,Cancer,90,1958-06-22,4,55,khong,tinh-toan,
1958-120,1958,Sư Tử,Leo,120,1958-07-23,15,50,khong,tinh-toan,
1958-150,1958,Xử Nữ,Virgo,150,1958-08-23,22,45,khong,tinh-toan,
1958-180,1958,Thiên Bình,Libra,180,1958-09-23,20,6,khong,tinh-toan,
1958-210,1958,Bọ Cạp,Scorpio,210,1958-10-24,5,8,khong,tinh-toan,
1958-240,1958,Nhân Mã,Sagittarius,240,1958-11-23,2,26,khong,tinh-toan,
1958-270,1958,Ma Kết,Capricorn,270,1958-12-22,15,36,khong,tinh-toan,
1959-300,1959,Bảo Bình,Aquarius,300,1959-01-21,2,14,khong,tinh-toan,
1959-330,1959,Song Ngư,Pisces,330,1959-02-19,16,32,khong,tinh-toan,
1959-000,1959,Bạch Dương,Aries,0,1959-03-21,15,48,khong,tinh-toan,
1959-030,1959,Kim Ngưu,Taurus,30,1959-04-21,3,10,khong,tinh-toan,
1959-060,1959,Song Tử,Gemini,60,1959-05-22,2,35,khong,tinh-toan,
1959-090,1959,Cự Giải,Cancer,90,1959-06-22,10,43,khong,tinh-toan,
1959-120,1959,Sư Tử,Leo,120,1959-07-23,21,38,khong,tinh-toan,
1959-150,1959,Xử Nữ,Virgo,150,1959-08-24,4,33,khong,tinh-toan,
1959-180,1959,Thiên Bình,Libra,180,1959-09-24,1,55,khong,tinh-toan,
1959-210,1959,Bọ Cạp,Scorpio,210,1959-10-24,10,57,khong,tinh-toan,
1959-240,1959,Nhân Mã,Sagittarius,240,1959-11-23,8,15,khong,tinh-toan,
1959-270,1959,Ma Kết,Capricorn,270,1959-12-22,21,26,khong,tinh-toan,
1960-300,1960,Bảo Bình,Aquarius,300,1960-01-21,8,4,khong,tinh-toan,
1960-330,1960,Song Ngư,Pisces,330,1960-02-19,22,22,khong,tinh-toan,
1960-000,1960,Bạch Dương,Aries,0,1960-03-20,21,37,khong,tinh-toan,
1960-030,1960,Kim Ngưu,Taurus,30,1960-04-20,8,58,khong,tinh-toan,
1960-060,1960,Song Tử,Gemini,60,1960-05-21,8,23,khong,tinh-toan,
1960-090,1960,Cự Giải,Cancer,90,1960-06-21,16,31,khong,tinh-toan,
1960-120,1960,Sư Tử,Leo,120,1960-07-23,3,25,khong,tinh-toan,
1960-150,1960,Xử Nữ,Virgo,150,1960-08-23,10,21,khong,tinh-toan,
1960-180,1960,Thiên Bình,Libra,180,1960-09-23,7,44,khong,tinh-toan,
1960-210,1960,Bọ Cạp,Scorpio,210,1960-10-23,16,46,khong,tinh-toan,
1960-240,1960,Nhân Mã,Sagittarius,240,1960-11-22,14,4,khong,tinh-toan,
1960-270,1960,Ma Kết,Capricorn,270,1960-12-22,3,15,khong,tinh-toan,
1961-300,1961,Bảo Bình,Aquarius,300,1961-01-20,13,54,khong,tinh-toan,
1961-330,1961,Song Ngư,Pisces,330,1961-02-19,4,11,khong,tinh-toan,
1961-000,1961,Bạch Dương,Aries,0,1961-03-21,3,26,khong,tinh-toan,
1961-030,1961,Kim Ngưu,Taurus,30,1961-04-20,14,47,khong,tinh-toan,
1961-060,1961,Song Tử,Gemini,60,1961-05-21,14,11,khong,tinh-toan,
1961-090,1961,Cự Giải,Cancer,90,1961-06-21,22,19,khong,tinh-toan,
1961-120,1961,Sư Tử,Leo,120,1961-07-23,9,13,khong,tinh-toan,
1961-150,1961,Xử Nữ,Virgo,150,1961-08-23,16,9,khong,tinh-toan,
1961-180,1961,Thiên Bình,Libra,180,1961-09-23,13,32,khong,tinh-toan,
1961-210,1961,Bọ Cạp,Scorpio,210,1961-10-23,22,35,khong,tinh-toan,
1961-240,1961,Nhân Mã,Sagittarius,240,1961-11-22,19,53,khong,tinh-toan,
1961-270,1961,Ma Kết,Capricorn,270,1961-12-22,9,5,khong,tinh-toan,
1962-300,1962,Bảo Bình,Aquarius,300,1962-01-20,19,44,khong,tinh-toan,
1962-330,1962,Song Ngư,Pisces,330,1962-02-19,10,0,khong,tinh-toan,
1962-000,1962,Bạch Dương,Aries,0,1962-03-21,9,15,khong,tinh-toan,
1962-030,1962,Kim Ngưu,Taurus,30,1962-04-20,20,35,khong,tinh-toan,
1962-060,1962,Song Tử,Gemini,60,1962-05-21,19,59,khong,tinh-toan,
1962-090,1962,Cự Giải,Cancer,90,1962-06-22,4,7,khong,tinh-toan,
1962-120,1962,Sư Tử,Leo,120,1962-07-23,15,1,khong,tinh-toan,
1962-150,1962,Xử Nữ,Virgo,150,1962-08-23,21,57,khong,tinh-toan,
1962-180,1962,Thiên Bình,Libra,180,1962-09-23,19,21,khong,tinh-toan,
1962-210,1962,Bọ Cạp,Scorpio,210,1962-10-24,4,24,khong,tinh-toan,
1962-240,1962,Nhân Mã,Sagittarius,240,1962-11-23,1,43,khong,tinh-toan,
1962-270,1962,Ma Kết,Capricorn,270,1962-12-22,14,54,khong,tinh-toan,
1963-300,1963,Bảo Bình,Aquarius,300,1963-01-21,1,33,khong,tinh-toan,
1963-330,1963,Song Ngư,Pisces,330,1963-02-19,15,50,khong,tinh-toan,
1963-000,1963,Bạch Dương,Aries,0,1963-03-21,15,4,khong,tinh-toan,
1963-030,1963,Kim Ngưu,Taurus,30,1963-04-21,2,24,khong,tinh-toan,
1963-060,1963,Song Tử,Gemini,60,1963-05-22,1,48,khong,tinh-toan,
1963-090,1963,Cự Giải,Cancer,90,1963-06-22,9,55,khong,tinh-toan,
1963-120,1963,Sư Tử,Leo,120,1963-07-23,20,50,khong,tinh-toan,
1963-150,1963,Xử Nữ,Virgo,150,1963-08-24,3,46,khong,tinh-toan,
1963-180,1963,Thiên Bình,Libra,180,1963-09-24,1,9,khong,tinh-toan,
1963-210,1963,Bọ Cạp,Scorpio,210,1963-10-24,10,13,khong,tinh-toan,
1963-240,1963,Nhân Mã,Sagittarius,240,1963-11-23,7,32,khong,tinh-toan,
1963-270,1963,Ma Kết,Capricorn,270,1963-12-22,20,43,khong,tinh-toan,
1964-300,1964,Bảo Bình,Aquarius,300,1964-01-21,7,23,khong,tinh-toan,
1964-330,1964,Song Ngư,Pisces,330,1964-02-19,21,39,khong,tinh-toan,
1964-000,1964,Bạch Dương,Aries,0,1964-03-20,20,53,khong,tinh-toan,
1964-030,1964,Kim Ngưu,Taurus,30,1964-04-20,8,12,khong,tinh-toan,
1964-060,1964,Song Tử,Gemini,60,1964-05-21,7,36,khong,tinh-toan,
1964-090,1964,Cự Giải,Cancer,90,1964-06-21,15,43,khong,tinh-toan,
1964-120,1964,Sư Tử,Leo,120,1964-07-23,2,37,khong,tinh-toan,
1964-150,1964,Xử Nữ,Virgo,150,1964-08-23,9,34,khong,tinh-toan,
1964-180,1964,Thiên Bình,Libra,180,1964-09-23,6,57,khong,tinh-toan,
1964-210,1964,Bọ Cạp,Scorpio,210,1964-10-23,16,2,khong,tinh-toan,
1964-240,1964,Nhân Mã,Sagittarius,240,1964-11-22,13,21,khong,tinh-toan,
1964-270,1964,Ma Kết,Capricorn,270,1964-12-22,2,34,khong,tinh-toan,
1965-300,1965,Bảo Bình,Aquarius,300,1965-01-20,13,12,khong,tinh-toan,
1965-330,1965,Song Ngư,Pisces,330,1965-02-19,3,28,khong,tinh-toan,
1965-000,1965,Bạch Dương,Aries,0,1965-03-21,2,42,khong,tinh-toan,
1965-030,1965,Kim Ngưu,Taurus,30,1965-04-20,14,1,khong,tinh-toan,
1965-060,1965,Song Tử,Gemini,60,1965-05-21,13,25,khong,tinh-toan,
1965-090,1965,Cự Giải,Cancer,90,1965-06-21,21,31,khong,tinh-toan,
1965-120,1965,Sư Tử,Leo,120,1965-07-23,8,25,khong,tinh-toan,
1965-150,1965,Xử Nữ,Virgo,150,1965-08-23,15,22,khong,tinh-toan,
1965-180,1965,Thiên Bình,Libra,180,1965-09-23,12,46,khong,tinh-toan,
1965-210,1965,Bọ Cạp,Scorpio,210,1965-10-23,21,51,khong,tinh-toan,
1965-240,1965,Nhân Mã,Sagittarius,240,1965-11-22,19,11,khong,tinh-toan,
1965-270,1965,Ma Kết,Capricorn,270,1965-12-22,8,22,khong,tinh-toan,
1966-300,1966,Bảo Bình,Aquarius,300,1966-01-20,19,1,khong,tinh-toan,
1966-330,1966,Song Ngư,Pisces,330,1966-02-19,9,18,khong,tinh-toan,
1966-000,1966,Bạch Dương,Aries,0,1966-03-21,8,31,khong,tinh-toan,
1966-030,1966,Kim Ngưu,Taurus,30,1966-04-20,19,50,khong,tinh-toan,
1966-060,1966,Song Tử,Gemini,60,1966-05-21,19,13,khong,tinh-toan,
1966-090,1966,Cự Giải,Cancer,90,1966-06-22,3,19,khong,tinh-toan,
1966-120,1966,Sư Tử,Leo,120,1966-07-23,14,13,khong,tinh-toan,
1966-150,1966,Xử Nữ,Virgo,150,1966-08-23,21,10,khong,tinh-toan,
1966-180,1966,Thiên Bình,Libra,180,1966-09-23,18,35,khong,tinh-toan,
1966-210,1966,Bọ Cạp,Scorpio,210,1966-10-24,3,39,khong,tinh-toan,
1966-240,1966,Nhân Mã,Sagittarius,240,1966-11-23,1,0,khong,tinh-toan,
1966-270,1966,Ma Kết,Capricorn,270,1966-12-22,14,12,khong,tinh-toan,
1967-300,1967,Bảo Bình,Aquarius,300,1967-01-21,0,52,khong,tinh-toan,
1967-330,1967,Song Ngư,Pisces,330,1967-02-19,15,7,khong,tinh-toan,
1967-000,1967,Bạch Dương,Aries,0,1967-03-21,14,20,khong,tinh-toan,
1967-030,1967,Kim Ngưu,Taurus,30,1967-04-21,1,38,khong,tinh-toan,
1967-060,1967,Song Tử,Gemini,60,1967-05-22,1,0,khong,tinh-toan,
1967-090,1967,Cự Giải,Cancer,90,1967-06-22,9,6,khong,tinh-toan,
1967-120,1967,Sư Tử,Leo,120,1967-07-23,20,1,khong,tinh-toan,
1967-150,1967,Xử Nữ,Virgo,150,1967-08-24,2,58,khong,tinh-toan,
1967-180,1967,Thiên Bình,Libra,180,1967-09-24,0,23,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1967-210,1967,Bọ Cạp,Scorpio,210,1967-10-24,9,28,khong,tinh-toan,
1967-240,1967,Nhân Mã,Sagittarius,240,1967-11-23,6,49,khong,tinh-toan,
1967-270,1967,Ma Kết,Capricorn,270,1967-12-22,20,2,khong,tinh-toan,
1968-300,1968,Bảo Bình,Aquarius,300,1968-01-21,6,41,khong,tinh-toan,
1968-330,1968,Song Ngư,Pisces,330,1968-02-19,20,57,khong,tinh-toan,
1968-000,1968,Bạch Dương,Aries,0,1968-03-20,20,9,khong,tinh-toan,
1968-030,1968,Kim Ngưu,Taurus,30,1968-04-20,7,26,khong,tinh-toan,
1968-060,1968,Song Tử,Gemini,60,1968-05-21,6,49,khong,tinh-toan,
1968-090,1968,Cự Giải,Cancer,90,1968-06-21,14,54,khong,tinh-toan,
1968-120,1968,Sư Tử,Leo,120,1968-07-23,1,49,khong,tinh-toan,
1968-150,1968,Xử Nữ,Virgo,150,1968-08-23,8,46,khong,tinh-toan,
1968-180,1968,Thiên Bình,Libra,180,1968-09-23,6,12,khong,tinh-toan,
1968-210,1968,Bọ Cạp,Scorpio,210,1968-10-23,15,17,khong,tinh-toan,
1968-240,1968,Nhân Mã,Sagittarius,240,1968-11-22,12,39,khong,tinh-toan,
1968-270,1968,Ma Kết,Capricorn,270,1968-12-22,1,51,khong,tinh-toan,
1969-300,1969,Bảo Bình,Aquarius,300,1969-01-20,12,30,khong,tinh-toan,
1969-330,1969,Song Ngư,Pisces,330,1969-02-19,2,46,khong,tinh-toan,
1969-000,1969,Bạch Dương,Aries,0,1969-03-21,1,58,khong,tinh-toan,
1969-030,1969,Kim Ngưu,Taurus,30,1969-04-20,13,15,khong,tinh-toan,
1969-060,1969,Song Tử,Gemini,60,1969-05-21,12,37,khong,tinh-toan,
1969-090,1969,Cự Giải,Cancer,90,1969-06-21,20,43,khong,tinh-toan,
1969-120,1969,Sư Tử,Leo,120,1969-07-23,7,37,khong,tinh-toan,
1969-150,1969,Xử Nữ,Virgo,150,1969-08-23,14,34,khong,tinh-toan,
1969-180,1969,Thiên Bình,Libra,180,1969-09-23,12,0,khong,tinh-toan,
1969-210,1969,Bọ Cạp,Scorpio,210,1969-10-23,21,6,khong,tinh-toan,
1969-240,1969,Nhân Mã,Sagittarius,240,1969-11-22,18,28,khong,tinh-toan,
1969-270,1969,Ma Kết,Capricorn,270,1969-12-22,7,41,khong,tinh-toan,
1970-300,1970,Bảo Bình,Aquarius,300,1970-01-20,18,20,khong,tinh-toan,
1970-330,1970,Song Ngư,Pisces,330,1970-02-19,8,36,khong,tinh-toan,
1970-000,1970,Bạch Dương,Aries,0,1970-03-21,7,47,khong,tinh-toan,
1970-030,1970,Kim Ngưu,Taurus,30,1970-04-20,19,4,khong,tinh-toan,
1970-060,1970,Song Tử,Gemini,60,1970-05-21,18,25,khong,tinh-toan,
1970-090,1970,Cự Giải,Cancer,90,1970-06-22,2,31,khong,tinh-toan,
1970-120,1970,Sư Tử,Leo,120,1970-07-23,13,25,khong,tinh-toan,
1970-150,1970,Xử Nữ,Virgo,150,1970-08-23,20,22,khong,tinh-toan,
1970-180,1970,Thiên Bình,Libra,180,1970-09-23,17,48,khong,tinh-toan,
1970-210,1970,Bọ Cạp,Scorpio,210,1970-10-24,2,56,khong,tinh-toan,
1970-240,1970,Nhân Mã,Sagittarius,240,1970-11-23,0,17,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1970-270,1970,Ma Kết,Capricorn,270,1970-12-22,13,31,khong,tinh-toan,
1971-300,1971,Bảo Bình,Aquarius,300,1971-01-21,0,9,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1971-330,1971,Song Ngư,Pisces,330,1971-02-19,14,25,khong,tinh-toan,
1971-000,1971,Bạch Dương,Aries,0,1971-03-21,13,36,khong,tinh-toan,
1971-030,1971,Kim Ngưu,Taurus,30,1971-04-21,0,52,khong,tinh-toan,
1971-060,1971,Song Tử,Gemini,60,1971-05-22,0,14,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1971-090,1971,Cự Giải,Cancer,90,1971-06-22,8,19,khong,tinh-toan,
1971-120,1971,Sư Tử,Leo,120,1971-07-23,19,13,khong,tinh-toan,
1971-150,1971,Xử Nữ,Virgo,150,1971-08-24,2,11,khong,tinh-toan,
1971-180,1971,Thiên Bình,Libra,180,1971-09-23,23,37,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1971-210,1971,Bọ Cạp,Scorpio,210,1971-10-24,8,44,khong,tinh-toan,
1971-240,1971,Nhân Mã,Sagittarius,240,1971-11-23,6,7,khong,tinh-toan,
1971-270,1971,Ma Kết,Capricorn,270,1971-12-22,19,20,khong,tinh-toan,
1972-300,1972,Bảo Bình,Aquarius,300,1972-01-21,5,59,khong,tinh-toan,
1972-330,1972,Song Ngư,Pisces,330,1972-02-19,20,14,khong,tinh-toan,
1972-000,1972,Bạch Dương,Aries,0,1972-03-20,19,25,khong,tinh-toan,
1972-030,1972,Kim Ngưu,Taurus,30,1972-04-20,6,41,khong,tinh-toan,
1972-060,1972,Song Tử,Gemini,60,1972-05-21,6,2,khong,tinh-toan,
1972-090,1972,Cự Giải,Cancer,90,1972-06-21,14,6,khong,tinh-toan,
1972-120,1972,Sư Tử,Leo,120,1972-07-23,1,0,khong,tinh-toan,
1972-150,1972,Xử Nữ,Virgo,150,1972-08-23,7,59,khong,tinh-toan,
1972-180,1972,Thiên Bình,Libra,180,1972-09-23,5,26,khong,tinh-toan,
1972-210,1972,Bọ Cạp,Scorpio,210,1972-10-23,14,33,khong,tinh-toan,
1972-240,1972,Nhân Mã,Sagittarius,240,1972-11-22,11,56,khong,tinh-toan,
1972-270,1972,Ma Kết,Capricorn,270,1972-12-22,1,10,khong,tinh-toan,
1973-300,1973,Bảo Bình,Aquarius,300,1973-01-20,11,49,khong,tinh-toan,
1973-330,1973,Song Ngư,Pisces,330,1973-02-19,2,4,khong,tinh-toan,
1973-000,1973,Bạch Dương,Aries,0,1973-03-21,1,14,khong,tinh-toan,
1973-030,1973,Kim Ngưu,Taurus,30,1973-04-20,12,29,khong,tinh-toan,
1973-060,1973,Song Tử,Gemini,60,1973-05-21,11,50,khong,tinh-toan,
1973-090,1973,Cự Giải,Cancer,90,1973-06-21,19,54,khong,tinh-toan,
1973-120,1973,Sư Tử,Leo,120,1973-07-23,6,48,khong,tinh-toan,
1973-150,1973,Xử Nữ,Virgo,150,1973-08-23,13,47,khong,tinh-toan,
1973-180,1973,Thiên Bình,Libra,180,1973-09-23,11,14,khong,tinh-toan,
1973-210,1973,Bọ Cạp,Scorpio,210,1973-10-23,20,22,khong,tinh-toan,
1973-240,1973,Nhân Mã,Sagittarius,240,1973-11-22,17,46,khong,tinh-toan,
1973-270,1973,Ma Kết,Capricorn,270,1973-12-22,6,59,khong,tinh-toan,
1974-300,1974,Bảo Bình,Aquarius,300,1974-01-20,17,38,khong,tinh-toan,
1974-330,1974,Song Ngư,Pisces,330,1974-02-19,7,53,khong,tinh-toan,
1974-000,1974,Bạch Dương,Aries,0,1974-03-21,7,3,khong,tinh-toan,
1974-030,1974,Kim Ngưu,Taurus,30,1974-04-20,18,18,khong,tinh-toan,
1974-060,1974,Song Tử,Gemini,60,1974-05-21,17,38,khong,tinh-toan,
1974-090,1974,Cự Giải,Cancer,90,1974-06-22,1,43,khong,tinh-toan,
1974-120,1974,Sư Tử,Leo,120,1974-07-23,12,36,khong,tinh-toan,
1974-150,1974,Xử Nữ,Virgo,150,1974-08-23,19,35,khong,tinh-toan,
1974-180,1974,Thiên Bình,Libra,180,1974-09-23,17,3,khong,tinh-toan,
1974-210,1974,Bọ Cạp,Scorpio,210,1974-10-24,2,12,khong,tinh-toan,
1974-240,1974,Nhân Mã,Sagittarius,240,1974-11-22,23,35,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
