id,ngay_duong,ngay_am,thang_am,thang_nhuan,can_chi_ngay,tam_nuong,nguyet_ky,sat_chu_am,sat_chu_duong,tho_tu,tho_tu_theo_chi,so_phep_pham,nguon,ghi_chu
2026-01-24,2026-01-24,6,12,khong,Mậu Tuất,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-25,2026-01-25,7,12,khong,Kỷ Hợi,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-01-26,2026-01-26,8,12,khong,Canh Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-27,2026-01-27,9,12,khong,Tân Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-28,2026-01-28,10,12,khong,Nhâm Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-29,2026-01-29,11,12,khong,Quý Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-30,2026-01-30,12,12,khong,Giáp Thìn,khong,khong,co,co,khong,khong,1,tinh-toan,
2026-01-31,2026-01-31,13,12,khong,Ất Tỵ,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-02-01,2026-02-01,14,12,khong,Bính Ngọ,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-02-02,2026-02-02,15,12,khong,Đinh Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-03,2026-02-03,16,12,khong,Mậu Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-04,2026-02-04,17,12,khong,Kỷ Dậu,khong,khong,khong,khong,khong,co,0,tinh-toan,
2026-02-05,2026-02-05,18,12,khong,Canh Tuất,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-02-06,2026-02-06,19,12,khong,Tân Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-07,2026-02-07,20,12,khong,Nhâm Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-08,2026-02-08,21,12,khong,Quý Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-09,2026-02-09,22,12,khong,Giáp Dần,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-02-10,2026-02-10,23,12,khong,Ất Mão,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-02-11,2026-02-11,24,12,khong,Bính Thìn,khong,khong,co,co,khong,khong,1,tinh-toan,
2026-02-12,2026-02-12,25,12,khong,Đinh Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-13,2026-02-13,26,12,khong,Mậu Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-14,2026-02-14,27,12,khong,Kỷ Mùi,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-02-15,2026-02-15,28,12,khong,Canh Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-16,2026-02-16,29,12,khong,Tân Dậu,khong,khong,khong,khong,co,co,1,tinh-toan,
2026-02-17,2026-02-17,1,1,khong,Nhâm Tuất,khong,khong,khong,khong,khong,co,0,tinh-toan,
2026-02-18,2026-02-18,2,1,khong,Quý Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-19,2026-02-19,3,1,khong,Giáp Tý,co,khong,khong,co,khong,khong,2,tinh-toan,
2026-02-20,2026-02-20,4,1,khong,Ất Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-21,2026-02-21,5,1,khong,Bính Dần,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-02-22,2026-02-22,6,1,khong,Đinh Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-23,2026-02-23,7,1,khong,Mậu Thìn,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-02-24,2026-02-24,8,1,khong,Kỷ Tỵ,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-02-25,2026-02-25,9,1,khong,Canh Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-26,2026-02-26,10,1,khong,Tân Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-27,2026-02-27,11,1,khong,Nhâm Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-02-28,2026-02-28,12,1,khong,Quý Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-01,2026-03-01,13,1,khong,Giáp Tuất,co,khong,khong,khong,khong,co,1,tinh-toan,
2026-03-02,2026-03-02,14,1,khong,Ất Hợi,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-03-03,2026-03-03,15,1,khong,Bính Tý,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-03-04,2026-03-04,16,1,khong,Đinh Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-05,2026-03-05,17,1,khong,Mậu Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-06,2026-03-06,18,1,khong,Kỷ Mão,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-03-07,2026-03-07,19,1,khong,Canh Thìn,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-08,2026-03-08,20,1,khong,Tân Tỵ,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-03-09,2026-03-09,21,1,khong,Nhâm Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-10,2026-03-10,22,1,khong,Quý Mùi,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-03-11,2026-03-11,23,1,khong,Giáp Thân,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-03-12,2026-03-12,24,1,khong,Ất Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-13,2026-03-13,25,1,khong,Bính Tuất,khong,khong,khong,khong,co,co,1,tinh-toan,
2026-03-14,2026-03-14,26,1,khong,Đinh Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-15,2026-03-15,27,1,khong,Mậu Tý,co,khong,khong,co,khong,khong,2,tinh-toan,
2026-03-16,2026-03-16,28,1,khong,Kỷ Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-17,2026-03-17,29,1,khong,Canh Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-18,2026-03-18,30,1,khong,Tân Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-19,2026-03-19,1,2,khong,Nhâm Thìn,khong,khong,khong,khong,co,co,1,tinh-toan,
2026-03-20,2026-03-20,2,2,khong,Quý Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-21,2026-03-21,3,2,khong,Giáp Ngọ,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-03-22,2026-03-22,4,2,khong,Ất Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-23,2026-03-23,5,2,khong,Bính Thân,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-03-24,2026-03-24,6,2,khong,Đinh Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-25,2026-03-25,7,2,khong,Mậu Tuất,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-03-26,2026-03-26,8,2,khong,Kỷ Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-27,2026-03-27,9,2,khong,Canh Tý,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-03-28,2026-03-28,10,2,khong,Tân Sửu,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-03-29,2026-03-29,11,2,khong,Nhâm Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-30,2026-03-30,12,2,khong,Quý Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-03-31,2026-03-31,13,2,khong,Giáp Thìn,co,khong,khong,khong,khong,co,1,tinh-toan,
2026-04-01,2026-04-01,14,2,khong,Ất Tỵ,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-04-02,2026-04-02,15,2,khong,Bính Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-03,2026-04-03,16,2,khong,Đinh Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-04,2026-04-04,17,2,khong,Mậu Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-05,2026-04-05,18,2,khong,Kỷ Dậu,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-04-06,2026-04-06,19,2,khong,Canh Tuất,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-07,2026-04-07,20,2,khong,Tân Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-08,2026-04-08,21,2,khong,Nhâm Tý,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-04-09,2026-04-09,22,2,khong,Quý Sửu,co,khong,khong,co,khong,khong,2,tinh-toan,
2026-04-10,2026-04-10,23,2,khong,Giáp Dần,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-04-11,2026-04-11,24,2,khong,Ất Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-12,2026-04-12,25,2,khong,Bính Thìn,khong,khong,khong,khong,khong,co,0,tinh-toan,
2026-04-13,2026-04-13,26,2,khong,Đinh Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-14,2026-04-14,27,2,khong,Mậu Ngọ,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-04-15,2026-04-15,28,2,khong,Kỷ Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-16,2026-04-16,29,2,khong,Canh Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-17,2026-04-17,1,3,khong,Tân Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-18,2026-04-18,2,3,khong,Nhâm Tuất,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-19,2026-04-19,3,3,khong,Quý Hợi,co,khong,khong,khong,khong,co,1,tinh-toan,
2026-04-20,2026-04-20,4,3,khong,Giáp Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-21,2026-04-21,5,3,khong,Ất Sửu,khong,co,khong,co,khong,khong,2,tinh-toan,
2026-04-22,2026-04-22,6,3,khong,Bính Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-23,2026-04-23,7,3,khong,Đinh Mão,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-04-24,2026-04-24,8,3,khong,Mậu Thìn,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-25,2026-04-25,9,3,khong,Kỷ Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-26,2026-04-26,10,3,khong,Canh Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-27,2026-04-27,11,3,khong,Tân Mùi,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-04-28,2026-04-28,12,3,khong,Nhâm Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-04-29,2026-04-29,13,3,khong,Quý Dậu,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-04-30,2026-04-30,14,3,khong,Giáp Tuất,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-05-01,2026-05-01,15,3,khong,Ất Hợi,khong,khong,khong,khong,khong,co,0,tinh-toan,
2026-05-02,2026-05-02,16,3,khong,Bính Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-03,2026-05-03,17,3,khong,Đinh Sửu,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-05-04,2026-05-04,18,3,khong,Mậu Dần,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-05-05,2026-05-05,19,3,khong,Kỷ Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-06,2026-05-06,20,3,khong,Canh Thìn,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-07,2026-05-07,21,3,khong,Tân Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-08,2026-05-08,22,3,khong,Nhâm Ngọ,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-05-09,2026-05-09,23,3,khong,Quý Mùi,khong,co,co,khong,khong,khong,2,tinh-toan,
2026-05-10,2026-05-10,24,3,khong,Giáp Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-11,2026-05-11,25,3,khong,Ất Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-12,2026-05-12,26,3,khong,Bính Tuất,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-13,2026-05-13,27,3,khong,Đinh Hợi,co,khong,khong,khong,khong,co,1,tinh-toan,
2026-05-14,2026-05-14,28,3,khong,Mậu Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-15,2026-05-15,29,3,khong,Kỷ Sửu,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-05-16,2026-05-16,30,3,khong,Canh Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-17,2026-05-17,1,4,khong,Tân Mão,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-05-18,2026-05-18,2,4,khong,Nhâm Thìn,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-19,2026-05-19,3,4,khong,Quý Tỵ,co,khong,khong,khong,khong,co,1,tinh-toan,
2026-05-20,2026-05-20,4,4,khong,Giáp Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-21,2026-05-21,5,4,khong,Ất Mùi,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-05-22,2026-05-22,6,4,khong,Bính Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-23,2026-05-23,7,4,khong,Đinh Dậu,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-05-24,2026-05-24,8,4,khong,Mậu Tuất,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-05-25,2026-05-25,9,4,khong,Kỷ Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-26,2026-05-26,10,4,khong,Canh Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-27,2026-05-27,11,4,khong,Tân Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-28,2026-05-28,12,4,khong,Nhâm Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-05-29,2026-05-29,13,4,khong,Quý Mão,co,khong,co,khong,khong,khong,2,tinh-toan,
2026-05-30,2026-05-30,14,4,khong,Giáp Thìn,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-05-31,2026-05-31,15,4,khong,Ất Tỵ,khong,khong,khong,khong,khong,co,0,tinh-toan,
2026-06-01,2026-06-01,16,4,khong,Bính Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-02,2026-06-02,17,4,khong,Đinh Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-03,2026-06-03,18,4,khong,Mậu Thân,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-06-04,2026-06-04,19,4,khong,Kỷ Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-05,2026-06-05,20,4,khong,Canh Tuất,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-06-06,2026-06-06,21,4,khong,Tân Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-07,2026-06-07,22,4,khong,Nhâm Tý,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-06-08,2026-06-08,23,4,khong,Quý Sửu,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-06-09,2026-06-09,24,4,khong,Giáp Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-10,2026-06-10,25,4,khong,Ất Mão,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-06-11,2026-06-11,26,4,khong,Bính Thìn,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-12,2026-06-12,27,4,khong,Đinh Tỵ,co,khong,khong,khong,co,co,2,tinh-toan,
2026-06-13,2026-06-13,28,4,khong,Mậu Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-14,2026-06-14,29,4,khong,Kỷ Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-15,2026-06-15,1,5,khong,Canh Thân,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-06-16,2026-06-16,2,5,khong,Tân Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-17,2026-06-17,3,5,khong,Nhâm Tuất,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-06-18,2026-06-18,4,5,khong,Quý Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-19,2026-06-19,5,5,khong,Giáp Tý,khong,co,khong,khong,khong,co,1,tinh-toan,
2026-06-20,2026-06-20,6,5,khong,Ất Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-21,2026-06-21,7,5,khong,Bính Dần,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-06-22,2026-06-22,8,5,khong,Đinh Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-23,2026-06-23,9,5,khong,Mậu Thìn,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-06-24,2026-06-24,10,5,khong,Kỷ Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-25,2026-06-25,11,5,khong,Canh Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-26,2026-06-26,12,5,khong,Tân Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-27,2026-06-27,13,5,khong,Nhâm Thân,co,khong,co,khong,khong,khong,2,tinh-toan,
2026-06-28,2026-06-28,14,5,khong,Quý Dậu,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-06-29,2026-06-29,15,5,khong,Giáp Tuất,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-06-30,2026-06-30,16,5,khong,Ất Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-01,2026-07-01,17,5,khong,Bính Tý,khong,khong,khong,khong,khong,co,0,tinh-toan,
2026-07-02,2026-07-02,18,5,khong,Đinh Sửu,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-07-03,2026-07-03,19,5,khong,Mậu Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-04,2026-07-04,20,5,khong,Kỷ Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-05,2026-07-05,21,5,khong,Canh Thìn,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-07-06,2026-07-06,22,5,khong,Tân Tỵ,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-07-07,2026-07-07,23,5,khong,Nhâm Ngọ,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-07-08,2026-07-08,24,5,khong,Quý Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-09,2026-07-09,25,5,khong,Giáp Thân,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-07-10,2026-07-10,26,5,khong,Ất Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-11,2026-07-11,27,5,khong,Bính Tuất,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-07-12,2026-07-12,28,5,khong,Đinh Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-13,2026-07-13,29,5,khong,Mậu Tý,khong,khong,khong,khong,co,co,1,tinh-toan,
2026-07-14,2026-07-14,1,6,khong,Kỷ Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-15,2026-07-15,2,6,khong,Canh Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-16,2026-07-16,3,6,khong,Tân Mão,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-07-17,2026-07-17,4,6,khong,Nhâm Thìn,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-07-18,2026-07-18,5,6,khong,Quý Tỵ,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-07-19,2026-07-19,6,6,khong,Giáp Ngọ,khong,khong,khong,khong,khong,co,0,tinh-toan,
2026-07-20,2026-07-20,7,6,khong,Ất Mùi,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-07-21,2026-07-21,8,6,khong,Bính Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-22,2026-07-22,9,6,khong,Đinh Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-23,2026-07-23,10,6,khong,Mậu Tuất,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-07-24,2026-07-24,11,6,khong,Kỷ Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-25,2026-07-25,12,6,khong,Canh Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-26,2026-07-26,13,6,khong,Tân Sửu,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-07-27,2026-07-27,14,6,khong,Nhâm Dần,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-07-28,2026-07-28,15,6,khong,Quý Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-29,2026-07-29,16,6,khong,Giáp Thìn,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-07-30,2026-07-30,17,6,khong,Ất Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-07-31,2026-07-31,18,6,khong,Bính Ngọ,co,khong,khong,khong,co,co,2,tinh-toan,
2026-08-01,2026-08-01,19,6,khong,Đinh Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-02,2026-08-02,20,6,khong,Mậu Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-03,2026-08-03,21,6,khong,Kỷ Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-04,2026-08-04,22,6,khong,Canh Tuất,co,khong,co,khong,khong,khong,2,tinh-toan,
2026-08-05,2026-08-05,23,6,khong,Tân Hợi,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-08-06,2026-08-06,24,6,khong,Nhâm Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-07,2026-08-07,25,6,khong,Quý Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-08,2026-08-08,26,6,khong,Giáp Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-09,2026-08-09,27,6,khong,Ất Mão,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-08-10,2026-08-10,28,6,khong,Bính Thìn,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-08-11,2026-08-11,29,6,khong,Đinh Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-12,2026-08-12,30,6,khong,Mậu Ngọ,khong,khong,khong,khong,khong,co,0,tinh-toan,
2026-08-13,2026-08-13,1,7,khong,Kỷ Mùi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-14,2026-08-14,2,7,khong,Canh Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-15,2026-08-15,3,7,khong,Tân Dậu,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-08-16,2026-08-16,4,7,khong,Nhâm Tuất,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-17,2026-08-17,5,7,khong,Quý Hợi,khong,co,co,khong,khong,khong,2,tinh-toan,
2026-08-18,2026-08-18,6,7,khong,Giáp Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-19,2026-08-19,7,7,khong,Ất Sửu,co,khong,khong,co,co,co,3,tinh-toan,
2026-08-20,2026-08-20,8,7,khong,Bính Dần,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-21,2026-08-21,9,7,khong,Đinh Mão,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-22,2026-08-22,10,7,khong,Mậu Thìn,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-23,2026-08-23,11,7,khong,Kỷ Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-24,2026-08-24,12,7,khong,Canh Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-25,2026-08-25,13,7,khong,Tân Mùi,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-08-26,2026-08-26,14,7,khong,Nhâm Thân,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-08-27,2026-08-27,15,7,khong,Quý Dậu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-28,2026-08-28,16,7,khong,Giáp Tuất,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-08-29,2026-08-29,17,7,khong,Ất Hợi,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-08-30,2026-08-30,18,7,khong,Bính Tý,co,khong,khong,khong,khong,khong,1,tinh-toan,
